="% 22 Apr 2025 13:35:43"
="Appendix Table 13 - White "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="0.252",="0.107",="-0.190",="-1.460"
="",="(0.334)",="(0.111)",="(1.256)",="(1.454)"
="Pre-treat DV mean",="20.140",="2.577",="19.353",="13.522"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:44"
="Appendix Table 13 - Black-Hispanic "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="-0.286",="0.121",="1.916",="0.294"
="",="(0.380)",="(0.125)",="(2.119)",="(2.018)"
="Pre-treat DV mean",="9.391",="0.846",="13.574",="8.790"
="N",="1020",="1020",="1020",="1020"

