="% 22 Apr 2025 13:35:36"
="Table 6 - White "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="0.218",="-0.073",="-4.469**",="-4.350**"
="",="(0.367)",="(0.104)",="(1.927)",="(2.136)"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:37"
="Table 6 - White "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml_with_dispensary",="0.270",="-0.196**",="-5.368**",="-5.412**"
="",="(0.393)",="(0.094)",="(2.107)",="(2.121)"
="rml_without_dispensary",="0.327",="0.047",="-2.202",="-1.856"
="",="(0.616)",="(0.215)",="(1.931)",="(1.908)"
="Pre-treat DV mean",="20.140",="2.577",="19.353",="13.522"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:37"
="Table 6 - Black-Hispanic "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="0.682**",="0.016",="-0.744",="-1.353"
="",="(0.319)",="(0.078)",="(2.123)",="(2.062)"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:37"
="Table 6 - Black-Hispanic "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml_with_dispensary",="0.871*",="0.017",="-1.198",="-1.999"
="",="(0.504)",="(0.091)",="(2.492)",="(2.328)"
="rml_without_dispensary",="0.280",="-0.017",="-0.214",="-0.684"
="",="(0.205)",="(0.064)",="(1.915)",="(1.774)"
="Pre-treat DV mean",="9.391",="0.846",="13.574",="8.790"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:38"
="Table 6 - Difference "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml_bh",="0.464",="0.089",="3.725*",="2.997"
="",="(0.284)",="(0.103)",="(2.087)",="(1.997)"
="N",="2040",="2040",="2040",="2040"

="% 22 Apr 2025 13:35:38"
="Table 6 - Difference "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml_with_dispensary_bh",="0.600",="0.212*",="4.169*",="3.413"
="",="(0.487)",="(0.123)",="(2.475)",="(2.274)"
="rml_without_dispensary_bh",="-0.048",="-0.065",="1.988",="1.172"
="",="(0.686)",="(0.192)",="(2.139)",="(2.023)"
="N",="2040",="2040",="2040",="2040"

