"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-237.257236925248,74.5297751438798,-423.046686377623,-51.4677874728735,-383.332911983121,-91.1815618673753,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"2","dynamic","ATT(-17)",-17,-198.608539151632,106.197905479576,-463.340994790417,66.1239164871531,-406.75260912519,9.53553082192624,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"3","dynamic","ATT(-16)",-16,288.033802835039,235.791641329493,-299.75274480324,875.820350473318,-174.109322026354,750.176927696431,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"4","dynamic","ATT(-15)",-15,156.098978944382,171.084225502829,-270.383510836304,582.581468725069,-179.219941364092,491.417899252857,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"5","dynamic","ATT(-14)",-14,124.564627287561,132.406710377981,-205.501708984556,454.630963559678,-134.947756364707,384.077010939829,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"6","dynamic","ATT(-13)",-13,170.078722837417,197.663702177995,-322.661666268447,662.819111943281,-217.335014482305,557.492460157139,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"7","dynamic","ATT(-12)",-12,239.914526214543,148.964124173184,-131.426492389936,611.255544819021,-52.049792153451,531.878844582536,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"8","dynamic","ATT(-11)",-11,254.719036445754,144.457165507701,-105.386937271655,614.825010163163,-28.4118052580824,537.84987814959,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"9","dynamic","ATT(-10)",-10,167.644532152225,124.969597713282,-143.882407418073,479.171471722524,-77.2913785282663,412.580442832717,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"10","dynamic","ATT(-9)",-9,-9.73243660688442,162.59747202754,-415.058962173696,395.594088959927,-328.417625758121,308.952752544352,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"11","dynamic","ATT(-8)",-8,412.185211186986,477.50426476844,-778.147837466716,1602.51825984069,-523.705950223434,1348.07637259741,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"12","dynamic","ATT(-7)",-7,-39.2906405919208,220.341504074391,-588.562749013824,509.981467829982,-471.152052877112,392.57077169327,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"13","dynamic","ATT(-6)",-6,-130.214314268746,208.728228860985,-650.53659687845,390.107968340959,-539.314125393109,278.885496855618,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"14","dynamic","ATT(-5)",-5,-272.89377664867,191.698480325641,-750.763930581133,204.976377283792,-648.615893977986,102.828340680646,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"15","dynamic","ATT(-4)",-4,-221.687892808076,165.482314513655,-634.205816661243,190.830031045091,-546.027269333169,102.651483717017,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"16","dynamic","ATT(-3)",-3,-136.167338107715,271.77327320656,-813.649682679942,541.315006464512,-668.833165553136,396.498489337707,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"17","dynamic","ATT(-2)",-2,-155.34379429557,175.14770050431,-591.95580321047,281.26821461933,-498.626979259025,187.939390667885,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",NA,NA
"19","dynamic","ATT(0)",0,-121.934452694732,50.370398206753,-247.498880246853,3.62997485738804,-220.658619066909,-23.2102863225556,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"20","dynamic","ATT(1)",1,-385.287571386036,162.178375110714,-789.569363015386,18.9942202433129,-703.151345674263,-67.4237970978097,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"21","dynamic","ATT(2)",2,-312.697786259253,158.185317722028,-707.025597315823,81.630024797317,-622.735311877453,-2.66026064105318,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"22","dynamic","ATT(3)",3,-243.408915430812,126.557654646794,-558.894597970704,72.0767671090808,-491.457360506387,4.63952964476283,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"23","dynamic","ATT(4)",4,-363.207396955172,258.284973918248,-1007.06581479494,280.651020884598,-869.436643582806,143.021849672461,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"24","dynamic","ATT(5)",5,-649.082095773641,189.283358859456,-1120.93178222587,-177.232409321414,-1020.07066201095,-278.093529536336,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"25","dynamic","ATT(6)",6,-793.894918735607,153.033136066484,-1175.37925895902,-412.410578512193,-1093.83435386713,-493.955483604081,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
"26","dynamic","ATT(7)",7,-790.743396957093,158.208330307564,-1185.12857428894,-396.358219625246,-1100.82602641413,-480.660767500052,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.49282181643119
