"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-178.913362606226,61.4593292211553,-319.314481663478,-38.5122435489741,-299.371434393681,-58.4552908187717,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"2","dynamic","ATT(-17)",-17,-96.6857705520464,57.4976148420036,-228.036528349797,34.6649872457039,-209.379024839329,16.0074837352362,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"3","dynamic","ATT(-16)",-16,306.974353575569,211.994020475159,-177.316609006447,791.265316157586,-108.526291493589,722.474998644728,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"4","dynamic","ATT(-15)",-15,298.61589706113,221.804040673796,-208.08562273518,805.31741685744,-136.112034284966,733.343828407227,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"5","dynamic","ATT(-14)",-14,286.148080418502,255.784996389602,-298.181429621019,870.477590458023,-215.181300290825,787.477461127829,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"6","dynamic","ATT(-13)",-13,298.276140900248,208.412970729998,-177.834071940568,774.386353741064,-110.205775641548,706.758057442044,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"7","dynamic","ATT(-12)",-12,299.186720395233,159.656877025053,-65.5423530191832,663.91579380965,-13.7350084580112,612.108449248478,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"8","dynamic","ATT(-11)",-11,260.255658051574,142.564916310836,-65.427587144909,585.938903248057,-19.1664433766317,539.67775947978,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"9","dynamic","ATT(-10)",-10,263.313886469969,126.970533384101,-26.7446807212871,553.372453661226,14.4562139392901,512.171559000649,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"10","dynamic","ATT(-9)",-9,281.116996343257,139.633657791116,-37.8699184241407,600.103911110655,7.44005604307876,554.793936643436,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"11","dynamic","ATT(-8)",-8,318.714258444282,138.635801774098,2.00690160930554,635.421615279258,46.993079999216,590.435436889347,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"12","dynamic","ATT(-7)",-7,224.75741276194,129.357767319214,-70.7546847588661,520.269510282745,-28.7791523042331,478.293977828112,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
"13","dynamic","ATT(-6)",-6,150.772730067668,88.8442589544608,-52.1880496397173,353.733509775054,-23.358817716225,324.904277851562,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.28445576670765
