"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-238.174512501233,84.3082250338387,-451.325772479518,-25.0232525229485,-403.415597168055,-72.9334278344112,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"2","dynamic","ATT(-17)",-17,-200.082553927917,113.085460096845,-485.989513719704,85.8244058638693,-421.725982892876,21.5608750370409,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"3","dynamic","ATT(-16)",-16,104.864442617668,478.542650321152,-1105.00528039406,1314.7341656294,-833.061917078135,1042.79080231347,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"4","dynamic","ATT(-15)",-15,125.836265744923,288.895987239403,-604.561553187138,856.234084676983,-440.389464522449,692.061996012295,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"5","dynamic","ATT(-14)",-14,123.256474311447,133.776719196738,-214.962913430389,461.475862053282,-138.941077284087,385.45402590698,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"6","dynamic","ATT(-13)",-13,185.035215508482,174.920119683407,-257.20448163976,627.274912656724,-157.801919242432,527.872350259396,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"7","dynamic","ATT(-12)",-12,247.823231148987,138.143638673901,-101.436768447829,597.083230745803,-22.9333253451728,518.579787643147,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"8","dynamic","ATT(-11)",-11,262.851387732726,138.778597537769,-88.0139390052281,613.71671447068,-9.14966526628058,534.852440731733,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"9","dynamic","ATT(-10)",-10,158.701564694061,128.998227758525,-167.436659312662,484.839788700784,-94.1303157821426,411.533445170265,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"10","dynamic","ATT(-9)",-9,-33.2873368859379,158.820847302077,-434.824241496003,368.249567724128,-344.570477592144,277.995803820268,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"11","dynamic","ATT(-8)",-8,386.158610318621,522.190854646977,-934.064162399769,1706.38138303701,-637.316657845645,1409.63387848289,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"12","dynamic","ATT(-7)",-7,-50.1421379638819,237.945607471796,-651.725269604417,551.440993676653,-516.506958888107,416.222682960343,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"13","dynamic","ATT(-6)",-6,-138.929148930284,222.707951089071,-701.987858359458,424.129560498891,-575.42871213557,297.570414275003,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"14","dynamic","ATT(-5)",-5,-276.026443228551,189.532327307082,-755.209279255598,203.156392798495,-647.50297865649,95.4500921993874,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"15","dynamic","ATT(-4)",-4,-222.848884301954,168.535760766274,-648.94740249886,203.249633894952,-553.172905510909,107.475136907001,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"16","dynamic","ATT(-3)",-3,-133.45802538713,263.658237015946,-800.04880465031,533.132753876049,-650.218674165709,383.302623391448,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"17","dynamic","ATT(-2)",-2,-155.78795370394,157.44918594768,-553.856971926458,242.281064518577,-464.382687556543,152.806780148662,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",NA,NA
"19","dynamic","ATT(0)",0,-121.335051060308,53.0750554745716,-255.521424255588,12.8513221349712,-225.360248267934,-17.3098538526826,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"20","dynamic","ATT(1)",1,-386.370075051281,154.532371867656,-777.064693017716,4.32454291515302,-689.247958357438,-83.4921917451242,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"21","dynamic","ATT(2)",2,-312.660902419398,158.647292169651,-713.759018344998,88.4372135062026,-623.603881316718,-1.71792352207785,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"22","dynamic","ATT(3)",3,-243.74596319722,129.950356169527,-572.291394453114,84.7994680586736,-498.443981067645,10.9520546732046,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"23","dynamic","ATT(4)",4,-364.706750714908,278.61340079372,-1069.10774364508,339.694242215263,-910.778981880823,181.365480451007,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"24","dynamic","ATT(5)",5,-651.004120518248,169.787035976722,-1080.26616027642,-221.742080760076,-983.780596074429,-318.227644962067,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"25","dynamic","ATT(6)",6,-793.894918735607,153.683794190642,-1182.4441303556,-405.345707115618,-1095.10962035673,-492.680217114483,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
"26","dynamic","ATT(7)",7,-790.743396957093,133.693317336566,-1128.75192494506,-452.73486896913,-1052.77748391045,-528.709310003739,43,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.52823802058141
