"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,7.38298354499011,18.1482719666193,-39.3939596584227,54.159926748403,-28.1869758912216,42.9529429812018,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"2","dynamic","ATT(-17)",-17,34.6048962057599,22.901678786339,-24.4238934124367,93.6336858239565,-10.2815694009696,79.4913618124893,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"3","dynamic","ATT(-16)",-16,105.742103555392,30.2140327649223,27.8658133394201,183.618393771363,46.5236875084308,164.960519602353,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"4","dynamic","ATT(-15)",-15,90.42929083623,26.7849015128155,21.391543381348,159.467038291112,37.9318485416592,142.926733130801,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"5","dynamic","ATT(-14)",-14,61.5266984535888,31.7231082034522,-20.2392147638243,143.292611671002,-0.649451102844679,123.702848010022,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"6","dynamic","ATT(-13)",-13,59.2645618993874,49.4577609481101,-68.212196168432,186.741319967207,-37.6708683149,156.199992113675,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"7","dynamic","ATT(-12)",-12,50.7883724421372,37.8500975511172,-46.7697789151272,148.346523799402,-23.3964555693802,124.973200453655,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"8","dynamic","ATT(-11)",-11,40.7698060680814,50.6540442633562,-89.7903572294692,171.329969365632,-58.5102963593945,140.049908495557,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"9","dynamic","ATT(-10)",-10,45.0064300776895,43.0033635539341,-65.8341997199038,155.847059875283,-39.2786137021037,129.291473857483,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"10","dynamic","ATT(-9)",-9,36.2842144208644,38.8864106647059,-63.9450209792474,136.513449820976,-39.9317499699934,112.500178811722,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"11","dynamic","ATT(-8)",-8,65.7819580001749,39.5831452405071,-36.2431020239041,167.807018024254,-11.7995810660371,143.363497066387,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"12","dynamic","ATT(-7)",-7,42.7523805647471,41.6841583161167,-64.688014290559,150.192775420053,-38.9470684607074,124.451829590202,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"13","dynamic","ATT(-6)",-6,12.9957469453436,45.2574803349937,-103.654840562572,129.646334453259,-75.7072845422737,101.698778432961,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"14","dynamic","ATT(-5)",-5,-81.4309427125876,40.3676124809351,-185.47795720252,22.6160717773452,-160.55000931709,-2.31187610808531,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"15","dynamic","ATT(-4)",-4,-56.4264071773549,39.7116073283176,-158.782576620356,45.9297622656458,-134.259727309054,21.4069129543444,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
"16","dynamic","ATT(-3)",-3,-35.5329518068428,76.9729417904434,-233.929743135174,162.863839521488,-186.39714550021,115.331241886524,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.57748744836154
