"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,27.2190465676893,19.0087978252737,-16.5001013515247,70.9381944869033,-10.0375125592505,64.4756056946291,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"2","dynamic","ATT(-17)",-17,43.4059538780469,17.593095924218,2.94283936981874,83.8690683862751,8.92411949002118,77.8877882660727,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"3","dynamic","ATT(-16)",-16,88.0561523484246,18.7864929837377,44.8482928515299,131.264011845319,51.2353027044843,124.877001992365,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"4","dynamic","ATT(-15)",-15,79.1579598972415,23.221122004041,25.7507072620967,132.565212532386,33.6453970887106,124.670522705772,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"5","dynamic","ATT(-14)",-14,80.8088393553673,30.5754477298855,10.4870581314243,151.13062057931,20.8820629936047,140.73561571713,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"6","dynamic","ATT(-13)",-13,77.699052522338,30.6911278569048,7.11121362178872,148.286891422887,17.5455472778906,137.852557766785,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"7","dynamic","ATT(-12)",-12,66.0108398419702,18.8929683205305,22.5580931595848,109.463586524356,28.9813023726743,103.040377311266,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"8","dynamic","ATT(-11)",-11,66.0996660935585,22.5117725224514,14.3238766996503,117.875455487467,21.9774027213953,110.221929465722,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"9","dynamic","ATT(-10)",-10,73.6952137006422,22.4820768437607,21.9877226694802,125.402704731804,29.6311527892092,117.759274612075,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"10","dynamic","ATT(-9)",-9,80.5468390756631,30.4866982194874,10.4291766502111,150.664501501115,20.7940085579264,140.2996695934,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"11","dynamic","ATT(-8)",-8,95.490067622124,35.4899647851159,13.8651782235313,177.114957020717,25.9310148307022,165.049120413546,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"12","dynamic","ATT(-7)",-7,83.3958699498032,42.4687837597506,-14.2799039843602,181.071643883967,0.158583313472434,166.633156586134,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"13","dynamic","ATT(-6)",-6,74.2644302820661,30.6140087840478,3.85396083878713,144.674899725345,14.2620756429396,134.266784921193,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"14","dynamic","ATT(-5)",-5,-1.6722109462382,20.9025435087641,-49.7468656375749,46.4024437450985,-42.6404434086974,39.296021516221,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"15","dynamic","ATT(-4)",-4,2.39953603673873,22.7481832841718,-49.9199845892207,54.7190566626981,-42.1860839139542,46.9851559874316,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"16","dynamic","ATT(-3)",-3,-18.5843198366352,40.8899955824382,-112.628971251033,75.4603315777621,-98.7272385062159,61.5585988329454,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"17","dynamic","ATT(-2)",-2,5.63151971051841,28.7918004131019,-60.5879746884003,71.8510141094371,-50.7993721492268,62.0624115702636,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",NA,NA
"19","dynamic","ATT(0)",0,-32.7172756337826,13.2960008399791,-63.2973171913906,-2.13723407617454,-58.7769584185559,-6.65759284900927,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"20","dynamic","ATT(1)",1,-87.2797378369843,24.6421213412539,-143.955207683326,-30.6042679906429,-135.577408168508,-38.9820675054608,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"21","dynamic","ATT(2)",2,-78.5691138722784,24.1608365379379,-134.137656194804,-23.0005715497526,-125.923483322996,-31.2147444215607,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"22","dynamic","ATT(3)",3,-30.2148082253065,26.416220890528,-90.97060557742,30.540989126807,-81.989649778396,21.5600333277829,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"23","dynamic","ATT(4)",4,-146.906524250511,36.4197210851643,-230.669799968126,-63.1432485328951,-218.287865904427,-75.5251825965947,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"24","dynamic","ATT(5)",5,-177.996609538103,30.9284186324405,-249.130203652152,-106.863015424054,-238.615196156464,-117.378022919742,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"25","dynamic","ATT(6)",6,-165.666712370911,31.7523752438186,-238.695359570536,-92.6380651712872,-227.900224272397,-103.433200469426,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
"26","dynamic","ATT(7)",7,-128.510948820728,31.217291563259,-200.308934155537,-56.7129634859187,-189.695715979601,-67.326181661854,45,5,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.29994281180086
