"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-714.087228840889,38.6073059584575,-810.429253750381,-617.745203931397,-789.756158059585,-638.418299622194,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"2","dynamic","ATT(-17)",-17,-903.770740969637,231.864763633762,-1482.37420161188,-325.167280327396,-1358.2173269757,-449.324154963571,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"3","dynamic","ATT(-16)",-16,255.355682140987,511.780226072852,-1021.75863766031,1532.47000194228,-747.715128961569,1258.42649324354,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"4","dynamic","ATT(-15)",-15,139.425641823128,487.126227783718,-1076.16622624724,1355.0175098935,-815.324220557814,1094.17550420407,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"5","dynamic","ATT(-14)",-14,-29.73795904761,264.880760407582,-690.730695621658,631.254777526437,-548.894709644053,489.418791548833,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"6","dynamic","ATT(-13)",-13,9.1646165667966,276.611718083421,-681.101963093686,699.431196227279,-532.984388578454,551.313621712048,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"7","dynamic","ATT(-12)",-12,88.0638578955157,297.833583047312,-655.160507661166,831.288223452197,-495.679238263734,671.806954054765,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"8","dynamic","ATT(-11)",-11,128.869955110198,231.106131119199,-447.840387356593,705.580297576988,-324.089738489825,581.82964871022,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"9","dynamic","ATT(-10)",-10,75.4727410621561,152.261748172623,-304.486563816408,455.43204594072,-222.954801579291,373.900283703604,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"10","dynamic","ATT(-9)",-9,-5.13118031567356,183.92282310995,-464.098641669996,453.836281038649,-365.613289546107,355.35092891476,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"11","dynamic","ATT(-8)",-8,73.774956336874,158.127041645353,-320.820807518115,468.370720191863,-236.148350269882,383.69826294363,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"12","dynamic","ATT(-7)",-7,-14.1136668518717,70.9033620922869,-191.048402578113,162.82106887437,-153.081702935556,124.854369231813,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"13","dynamic","ATT(-6)",-6,-64.3639607667286,63.5756287800731,-223.012813866115,94.2848923326582,-188.96990347016,60.2419819367028,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"14","dynamic","ATT(-5)",-5,-189.357451951519,135.127690916084,-526.559829610496,147.844925707458,-454.202859461104,75.4879555580654,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"15","dynamic","ATT(-4)",-4,-158.508751050094,51.8443632439702,-287.882992817749,-29.1345092824386,-260.121835809688,-56.8956662905001,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"16","dynamic","ATT(-3)",-3,-77.5901638987363,189.475702806629,-550.414475939106,395.234148141633,-448.955717345144,293.775389547672,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"17","dynamic","ATT(-2)",-2,-88.3658513738559,76.1854997071209,-278.481818502549,101.750115754838,-237.686686944,60.9549841962879,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",NA,NA
"19","dynamic","ATT(0)",0,-4.13209613298793,12.8037205866131,-36.082949399387,27.8187571334112,-29.2269273508636,20.9627350848878,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
"20","dynamic","ATT(1)",1,-38.4140750405567,47.0728383014339,-155.881286170934,79.0531360898212,-130.675142761445,53.8469926803314,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.49543506125909
