"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-36.0131604043611,10.9498176147262,-63.1578415821159,-8.86847922660635,-57.4744085665068,-14.5519122422154,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"2","dynamic","ATT(-17)",-17,0.920619792834144,24.6593545747552,-60.210107816794,62.0513474024623,-47.4108270556891,49.2520666413574,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"3","dynamic","ATT(-16)",-16,-4.91910839614313,15.1165160870125,-42.3930667887015,32.5548499964153,-34.5469354984079,24.7087187061216,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"4","dynamic","ATT(-15)",-15,-15.0866206424465,16.6485695334458,-56.3585511852244,26.1853099003313,-47.717217322111,17.543976037218,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"5","dynamic","ATT(-14)",-14,-48.8599917952368,24.3847594684469,-109.309996047091,11.5900124566174,-96.6532421250648,-1.0667414654087,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"6","dynamic","ATT(-13)",-13,-43.9696578695656,15.6119191655896,-82.6717242631531,-5.26759147597816,-74.5684571636718,-13.3708585754594,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842338
"7","dynamic","ATT(-12)",-12,-47.9716005259396,19.9094638885855,-97.3273129853737,1.38411193349444,-86.993432699068,-8.9497683528113,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"8","dynamic","ATT(-11)",-11,-39.6341937408417,20.0824161386674,-89.4186561441227,10.1502686624393,-78.9950060951757,-0.273381386507687,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842338
"9","dynamic","ATT(-10)",-10,-48.6708591917316,23.0303315412528,-105.76322630701,8.42150792354717,-93.8094795646038,-3.53223881885927,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"10","dynamic","ATT(-9)",-9,-52.6851368914237,22.9600111780636,-109.603179291329,4.23290550848186,-97.6859318850653,-7.68434189778205,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"11","dynamic","ATT(-8)",-8,-60.3299837204871,42.0807967103397,-164.648598933937,43.9886314929629,-142.806829713504,22.1468622725304,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"12","dynamic","ATT(-7)",-7,-68.6620481145255,48.359207818769,-188.544892234582,51.2207960055306,-163.444353760201,26.1202575311496,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"13","dynamic","ATT(-6)",-6,-56.28042732177,37.7028853061188,-149.746166855153,37.1853122116127,-130.176724635007,17.6158699914672,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842338
"14","dynamic","ATT(-5)",-5,-74.1741190709,34.2141089997359,-158.991155596672,10.6429174548722,-141.23254047351,-7.11569766828998,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842338
"15","dynamic","ATT(-4)",-4,-71.2896185524907,36.822731520773,-162.573450155419,19.9942130504373,-143.460846145594,0.881609040612261,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"16","dynamic","ATT(-3)",-3,-70.5685279999329,50.6749603099137,-196.192140164762,55.0550841648963,-169.88962512536,28.7525691254947,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"17","dynamic","ATT(-2)",-2,-64.5069740460112,42.7803155340319,-170.559701745629,41.545753653607,-148.354851739973,19.3409036479507,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842338
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",NA,NA
"19","dynamic","ATT(0)",0,3.83877946294019,3.80803104378321,-5.60135846771083,13.2789173935912,-3.62482423488537,11.3023831607658,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"20","dynamic","ATT(1)",1,-0.561269389080942,9.04854417769979,-22.9926792507538,21.8701404725919,-18.2960900898921,17.1735513117302,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"21","dynamic","ATT(2)",2,14.4462403078251,12.0644280190238,-15.4615685426111,44.3540491582613,-9.19960410353741,38.0920847191876,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"22","dynamic","ATT(3)",3,-27.2487950052124,11.1739457768323,-54.9490916020899,0.45150159166516,-49.149326293007,-5.34826371741771,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"23","dynamic","ATT(4)",4,5.38167037136283,32.5318547409361,-75.2650450475421,86.0283857902677,-58.3795932711605,69.1429340138861,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"24","dynamic","ATT(5)",5,-12.5377905264107,34.3160180083676,-97.6074602599478,72.5318792071264,-79.7959499156391,54.7203688628176,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"25","dynamic","ATT(6)",6,-11.1628804900034,35.5619073587149,-99.3211194023051,76.9953584222984,-80.8629381346344,58.5371771546277,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
"26","dynamic","ATT(7)",7,-12.5504655148859,32.4128995790892,-92.9022901825112,67.8013591527395,-76.0785813244142,50.9776502946425,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.47900760842339
