"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-32.5993757362303,9.63724040734578,-54.8232383959367,-10.3755130765238,-51.4880198449821,-13.7107316274784,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205158
"2","dynamic","ATT(-17)",-17,-19.4787275759254,10.2144168203184,-43.0335821783613,4.07612702651056,-39.4986166668295,0.541161514978743,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"3","dynamic","ATT(-16)",-16,-33.0961268832542,12.339031477472,-61.5504280440007,-4.64182572250773,-57.2801841832053,-8.91206958330305,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"4","dynamic","ATT(-15)",-15,-49.7383086594385,21.7427460596394,-99.8779525668358,0.40133524795889,-92.3533078613318,-7.12330945754511,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"5","dynamic","ATT(-14)",-14,-54.6818895174303,21.4628699359364,-104.176127865559,-5.18765116930129,-96.7483415967332,-12.6154374381275,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"6","dynamic","ATT(-13)",-13,-47.7738357463329,15.0176935192539,-82.4052389416986,-13.1424325509672,-77.2079741749311,-18.3396973177346,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205158
"7","dynamic","ATT(-12)",-12,-43.4745367364437,23.8977631769294,-98.5837364938191,11.6346630209317,-90.3132918742928,3.36421840140547,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"8","dynamic","ATT(-11)",-11,-35.1267312260481,21.8436005057911,-85.4989495287246,15.2454870766283,-77.9394015100797,7.6859390579834,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"9","dynamic","ATT(-10)",-10,-45.8455176628374,24.5504115436947,-102.459750713459,10.7687153877841,-93.9634400941153,2.27240476844048,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"10","dynamic","ATT(-9)",-9,-44.5126869752478,25.3340024293145,-102.933912016039,13.9085380655434,-94.1664193209545,5.14104537045883,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"11","dynamic","ATT(-8)",-8,-50.0106430765058,33.6237413329446,-127.54833829881,27.5270521457987,-115.911965114568,15.8906789615564,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"12","dynamic","ATT(-7)",-7,-55.2777268705379,35.7715934770871,-137.768455227555,27.2130014864796,-125.388761755236,14.8333080141607,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"13","dynamic","ATT(-6)",-6,-48.1490812660396,30.1261765928654,-117.621252008151,21.3230894760719,-107.195302379949,10.8971398478702,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"14","dynamic","ATT(-5)",-5,-59.1679922638806,33.5724310449681,-136.58736390549,18.2513793777286,-124.968747985472,6.63276345771136,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"15","dynamic","ATT(-4)",-4,-57.4710074128053,36.4057846213673,-141.424205968215,26.4821911426045,-128.825034099607,13.8830192739968,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205158
"16","dynamic","ATT(-3)",-3,-67.4966626024896,41.7691403308839,-163.817974398345,28.8246491933656,-149.362673316221,14.3693481112422,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"17","dynamic","ATT(-2)",-2,-52.5453138970437,37.61081264803,-139.277355381933,34.1867275878457,-126.261152116466,21.1705243223785,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205158
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",NA,NA
"19","dynamic","ATT(0)",0,5.62014585998498,4.33972313878298,-4.38742964305523,15.6277213630252,-2.88555519490477,14.1258469148747,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"20","dynamic","ATT(1)",1,-0.619843951661359,3.96761938923581,-9.76933329356412,8.5296453902414,-8.39623505892635,7.15654715560363,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"21","dynamic","ATT(2)",2,16.4980550887347,7.73770093091632,-1.34539340088611,34.3415035783555,1.33243994099667,31.6636702364727,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
"22","dynamic","ATT(3)",3,-23.1731438812853,9.0192349068926,-43.9718610860184,-2.37442667655229,-40.8505194669013,-5.49576829566937,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205158
"23","dynamic","ATT(4)",4,18.6622881806276,23.0358759563588,-34.4593650999039,71.7839414611592,-26.4871990461678,63.811775407423,45,5,20,"notyettreated","reg",NA,"rate_total_heroin_coke_1899",1.95996398454005,2.30604008205157
