"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,303.148613586362,105.065132008074,59.9112729661745,546.385954206549,97.2247388195902,509.072488353133,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"2","dynamic","ATT(-17)",-17,12.0697347217366,183.949471951298,-413.793532289464,437.933001732937,-348.464605277968,372.604074721441,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"3","dynamic","ATT(-16)",-16,79.8989558124031,397.61611718322,-840.626104051784,1000.42401567659,-699.414313539365,859.212225164171,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"4","dynamic","ATT(-15)",-15,-31.641824632936,347.171470954773,-835.381978195472,772.0983289296,-712.085404164084,648.801754898212,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"5","dynamic","ATT(-14)",-14,33.2049023760449,375.654804119388,-836.477301403755,902.887106155844,-703.064984317405,769.474789069494,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"6","dynamic","ATT(-13)",-13,188.342516402307,393.219976647367,-722.004994426381,1098.690027231,-582.354475828213,959.039508632828,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"7","dynamic","ATT(-12)",-12,270.795401415202,390.305860970869,-632.805610990426,1174.39641382083,-494.190029042597,1035.780831873,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"8","dynamic","ATT(-11)",-11,275.762684300334,379.02133421143,-601.713407052397,1153.23877565306,-467.105480126389,1018.63084872706,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"9","dynamic","ATT(-10)",-10,316.54560720776,345.916452752735,-484.28904113093,1117.38025554645,-361.438181847452,994.529396262972,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"10","dynamic","ATT(-9)",-9,286.4114922528,300.310039577142,-408.839291638794,981.662276144393,-302.185369514197,875.008354019796,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"11","dynamic","ATT(-8)",-8,258.663280563021,253.651569373789,-328.568011107331,845.894572233374,-238.484660031668,755.811221157711,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"12","dynamic","ATT(-7)",-7,91.8451129980578,111.904156321401,-167.225321386126,350.915547382242,-127.483003112229,311.173229108345,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"13","dynamic","ATT(-6)",-6,2.43510795469064,51.6806206203928,-117.211215055108,122.081430964489,-98.8570471599572,103.727263069339,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"14","dynamic","ATT(-5)",-5,-103.090153427187,42.7036162796631,-201.953723673613,-4.22658318076179,-186.787703344945,-19.3926035094292,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"15","dynamic","ATT(-4)",-4,-68.750846014015,43.8401833141098,-170.245693998464,32.7440019704343,-154.676026385304,17.174334357274,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"16","dynamic","ATT(-3)",-3,-40.2107429271592,70.0150492112699,-202.303285410541,121.881799556222,-177.437717757048,97.0162319027293,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"17","dynamic","ATT(-2)",-2,71.3241221192762,25.1940556030119,12.9971113671,129.651132871452,21.9446805128733,120.703563725679,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",NA,NA
"19","dynamic","ATT(0)",0,17.3582828749517,28.2846204683297,-48.1237255866103,82.8402913365137,-38.0785545593589,72.7951203092624,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"20","dynamic","ATT(1)",1,-46.8934351923848,19.4411034611741,-91.9017287550342,-1.88514162973541,-84.997297796003,-8.78957258876658,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"21","dynamic","ATT(2)",2,-6.459981265384,34.6589532147445,-86.699271384832,73.779308854064,-74.390281308142,61.470318777374,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"22","dynamic","ATT(3)",3,4.57317185566743,35.0708678113671,-76.6197458767684,85.7660895881033,-64.1644659611771,73.310809672512,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"23","dynamic","ATT(4)",4,188.987000123987,86.1461663718948,-10.4508534477727,388.424853695747,20.143616628878,357.830383619097,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"24","dynamic","ATT(5)",5,193.176587913397,111.648221173647,-65.3013284439108,451.654504270704,-25.649904524914,412.003080351708,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"25","dynamic","ATT(6)",6,215.731358219745,120.508969702002,-63.2601659039873,494.722882343477,-20.4618822102076,451.924598649697,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
"26","dynamic","ATT(7)",7,247.899800921063,167.243975184133,-139.288403015243,635.08800485737,-79.8923670711483,575.691968913274,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.31511002719242
