"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,254.500788187607,60.0424243648428,99.4607850053693,409.540791369845,136.819798888045,372.181777487169,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"2","dynamic","ATT(-17)",-17,-290.765869590831,217.556763654554,-852.535346525372,271.003607343711,-717.16929094685,135.637551765189,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"3","dynamic","ATT(-16)",-16,1277.72553838153,1101.72627661703,-1567.12370346016,4122.57478022321,-881.618284609272,3437.06936137232,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"4","dynamic","ATT(-15)",-15,895.519863382068,887.5991535898,-1396.41583130138,3187.45555806551,-844.142510362175,2635.18223712631,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"5","dynamic","ATT(-14)",-14,76.8048507970361,365.890245477954,-867.987525982273,1021.59722757635,-640.326852634272,793.936554228345,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"6","dynamic","ATT(-13)",-13,162.690945627701,377.541240694151,-812.18633119527,1137.56822245067,-577.276288811402,902.658180066804,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"7","dynamic","ATT(-12)",-12,261.913835343114,454.432385443378,-911.509776887101,1435.33744757333,-628.757273534531,1152.58494422076,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"8","dynamic","ATT(-11)",-11,445.28695789725,443.89440575036,-700.925754333123,1591.49967012762,-424.730090312266,1315.30400610676,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"9","dynamic","ATT(-10)",-10,283.464946375776,412.017909483417,-780.437097440625,1347.36699019218,-524.075317197205,1091.00520994876,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"10","dynamic","ATT(-9)",-9,-50.3387934055091,471.323112745391,-1267.37720704251,1166.69962023149,-974.115119467786,873.437532656768,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"11","dynamic","ATT(-8)",-8,103.348950383133,295.002398921184,-658.398653104529,865.096553870794,-474.845126855306,681.543027621571,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"12","dynamic","ATT(-7)",-7,-74.9194069763075,122.314084344681,-390.755688183097,240.916874230482,-314.650607093877,164.811793141262,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"13","dynamic","ATT(-6)",-6,-152.694873209925,136.405476062561,-504.9175835107,199.527837090849,-420.044693586586,114.654947166735,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"14","dynamic","ATT(-5)",-5,-248.269957968503,142.046994514479,-615.060052048174,118.520136111167,-526.676951329041,30.1370353920345,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"15","dynamic","ATT(-4)",-4,-208.298543033036,88.8891599757026,-437.825844624957,21.2287585588853,-382.518095201432,-34.0789908646395,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"16","dynamic","ATT(-3)",-3,-19.5670409381803,193.827002184955,-520.062138420537,480.928056544176,-399.460984452058,360.326902575697,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"17","dynamic","ATT(-2)",-2,-20.4599814900763,76.1327129314298,-217.047913773383,176.12795079323,-169.677356881005,128.757393900853,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",NA,NA
"19","dynamic","ATT(0)",0,16.4101935983315,25.4512752278054,-49.3094343822715,82.1298215789344,-33.4733892087835,66.2937764054465,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"20","dynamic","ATT(1)",1,-28.474440932728,68.6096862624014,-205.636607333917,148.68772546846,-162.946954997627,105.998073132171,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"21","dynamic","ATT(2)",2,60.9229072116185,92.8374937015399,-178.799680128571,300.645494551808,-121.035236858364,242.881051281601,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"22","dynamic","ATT(3)",3,71.9016810340512,118.066764443119,-232.967280015031,376.770642083133,-159.504925045636,303.308287113739,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"23","dynamic","ATT(4)",4,133.473944834159,124.955613593159,-189.183225226176,456.131114894494,-111.434557474537,378.382447142855,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"24","dynamic","ATT(5)",5,101.266964815798,97.8161569608805,-151.311398681615,353.845328313211,-90.4491799336444,292.983109565241,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"25","dynamic","ATT(6)",6,94.3611391186175,131.829969888192,-246.046816875701,434.769095112936,-164.020853945239,352.743132182474,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
"26","dynamic","ATT(7)",7,11.7228164826349,126.604634744059,-315.192413560915,338.638046526185,-236.41770789157,259.86334085684,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.58217426798342
