"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,49.432882065971,17.1678042859701,5.36514021444312,93.5006239174988,15.7846039718372,83.0811601601047,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"2","dynamic","ATT(-17)",-17,71.0891368390044,36.646373956895,-22.9778108280746,165.156084506083,-0.736436280496434,142.914709958505,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"3","dynamic","ATT(-16)",-16,56.0161399050132,23.9213631936107,-5.38719626967499,117.419476079701,9.13112958443426,102.901150225592,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"4","dynamic","ATT(-15)",-15,27.1170773591655,37.1391813561131,-68.2148491537531,122.449003872084,-45.6743805141177,99.9085352324487,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"5","dynamic","ATT(-14)",-14,26.4018991593866,28.9055081664523,-47.7951531105665,100.59895142934,-30.2518558016883,83.0556541204615,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"6","dynamic","ATT(-13)",-13,78.1269181248051,50.8762140834525,-52.4663616718933,208.720197921504,-21.5886291485113,177.842465398122,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"7","dynamic","ATT(-12)",-12,80.1312532904374,42.4222326145837,-28.7616467266426,189.024153307517,-3.01479477792708,163.277301358802,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"8","dynamic","ATT(-11)",-11,117.744799195521,57.0652047051623,-28.7348942913611,264.224492682404,5.89905320299755,229.590545188045,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"9","dynamic","ATT(-10)",-10,44.6780539903721,30.1814474716264,-32.79418495937,122.150292940114,-14.4764960553032,103.832604036047,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"10","dynamic","ATT(-9)",-9,-37.3221216641825,34.9623506685699,-127.066378886653,52.422135558288,-105.847069789439,31.2028264610745,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"11","dynamic","ATT(-8)",-8,-89.5297527203329,39.9759238427037,-192.143264782342,13.0837593416762,-167.881123700748,-11.1783817399176,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"12","dynamic","ATT(-7)",-7,-95.2770326176734,55.9830554578125,-238.978975794575,48.4249105592286,-205.001805059494,14.4477398241476,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"13","dynamic","ATT(-6)",-6,-57.5624098395372,35.7011696700328,-149.203128862779,34.0783091837052,-127.535416598755,12.4105969196808,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"14","dynamic","ATT(-5)",-5,-93.1347620085192,41.29422077021,-199.13218780331,12.8626637862719,-174.069947487777,-12.1995765292618,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"15","dynamic","ATT(-4)",-4,-62.5831859707204,43.7538093599578,-174.894087456899,49.7277155154582,-148.339076502669,23.1727045612283,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"16","dynamic","ATT(-3)",-3,-5.3370885295816,86.8132196593776,-228.176450484322,217.502273425159,-175.487872443926,164.813695384763,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"17","dynamic","ATT(-2)",-2,0.555815418223191,28.88238441835,-73.5818809000289,74.6935117364752,-56.0526178293836,57.16424866583,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",NA,NA
"19","dynamic","ATT(0)",0,20.9490980436349,14.8491995462957,-17.1670571389327,59.0652532262025,-8.15479826635323,50.052994353623,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"20","dynamic","ATT(1)",1,-3.29308069695881,26.3577418288998,-70.9503153297185,64.3641539358008,-54.9533053954074,48.3671440014898,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"21","dynamic","ATT(2)",2,19.7130584237158,32.7956487369014,-64.4695288377332,103.895645685165,-44.5652319502374,83.9913487976691,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"22","dynamic","ATT(3)",3,27.3478214446588,34.4123150335739,-60.9845587568257,115.680201646143,-40.0990766457923,94.79471953511,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"23","dynamic","ATT(4)",4,44.4478631388557,74.2783944316538,-146.216071307035,235.111797584746,-101.135114776646,190.030841054358,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
"24","dynamic","ATT(5)",5,33.2680712729847,81.5527784887124,-176.068354623505,242.604497169474,-126.572437404064,193.108579950034,45,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.56688281841266
