"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,48.2058556859966,15.7544852369013,6.92070637657147,89.4910049954217,17.327632026702,79.0840793452911,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"2","dynamic","ATT(-17)",-17,70.2608357160369,21.0426946320471,15.1177588910415,125.403912541032,29.0179120995502,111.503759332524,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"3","dynamic","ATT(-16)",-16,293.31409851304,143.366880873358,-82.3835516405443,669.011748666624,12.3201754254134,574.308021600666,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"4","dynamic","ATT(-15)",-15,-91.4094021247672,132.036093358089,-437.41434906863,254.595544819096,-350.195389765991,167.376585516456,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"5","dynamic","ATT(-14)",-14,18.6690982589194,21.3044999965044,-37.1600481773069,74.4982446951457,-23.0869544428629,60.4251509607016,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"6","dynamic","ATT(-13)",-13,69.3941411778551,46.5565999549596,-52.6089678781998,191.39725023391,-21.8551179765047,160.643400332215,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"7","dynamic","ATT(-12)",-12,66.5006221731808,31.6985128568904,-16.5663785256531,149.567622872015,4.37267861019584,128.628565736166,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"8","dynamic","ATT(-11)",-11,107.480943251304,44.9194706406444,-10.2320143231886,225.193900825797,19.440398591037,195.521487911572,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"9","dynamic","ATT(-10)",-10,38.54675604701,28.1924664874222,-35.3325342523612,112.426046346381,-16.70946290369,93.80297499771,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"10","dynamic","ATT(-9)",-9,-51.4610503580303,33.2420357619425,-138.572903848902,35.6508031328411,-116.61424322423,13.6921425081694,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"11","dynamic","ATT(-8)",-8,-109.464229576996,47.0728932928273,-232.820302390407,13.8918432364152,-201.725405079035,-17.2030540749574,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"12","dynamic","ATT(-7)",-7,-112.26842221509,58.5082729663231,-265.591285446028,41.0544410158477,-226.942530026722,2.40568559654162,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"13","dynamic","ATT(-6)",-6,-64.7373859257267,39.5602909045593,-168.406435860376,38.9316640089229,-142.27413131659,12.799359465137,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"14","dynamic","ATT(-5)",-5,-96.590002985252,44.6748984705907,-213.662051104072,20.4820451335675,-184.151195000593,-9.02881096991075,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"15","dynamic","ATT(-4)",-4,-58.3137245935825,40.1911224017492,-163.635889318017,47.0084401308522,-137.086876999252,20.4594278120868,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"16","dynamic","ATT(-3)",-3,-9.99117193114535,103.336162572332,-280.78700160821,260.804657745919,-212.526328873492,192.543985011202,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"17","dynamic","ATT(-2)",-2,-1.63578903226472,30.3978465334989,-81.2943506386436,78.0227725741142,-61.2144734454982,57.9428953809688,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",NA,NA
"19","dynamic","ATT(0)",0,22.6338252265673,13.3515726261793,-12.3544121609884,57.622062614123,-3.53477625771496,48.8024267108495,43,5,20,"notyettreated","reg",NA,"rate_total_nonmj_1899",1.95996398454005,2.62053305383307
