"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,937.947308278761,44.8359989581212,827.758069284404,1048.13654727312,850.070365109968,1025.82425144755,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"2","dynamic","ATT(-17)",-17,594.921790993789,123.566724234236,291.243415920364,898.600166067214,352.735461807094,837.108120180484,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"3","dynamic","ATT(-16)",-16,1.00119215000825,101.542731708918,-248.550877446228,250.553261746244,-198.018904891284,200.021289191301,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"4","dynamic","ATT(-15)",-15,283.432456661217,334.979371058872,-539.814997025764,1106.6799103482,-373.11504617805,939.979959500484,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"5","dynamic","ATT(-14)",-14,87.5374792886803,121.050637604437,-209.957345124028,385.032303701389,-149.717410721627,324.792369298987,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"6","dynamic","ATT(-13)",-13,120.084182391339,104.260475438443,-136.147031649026,376.315396431704,-84.2625944790331,324.430959261711,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"7","dynamic","ATT(-12)",-12,143.400020057221,169.045552482859,-272.047415403406,558.847455517849,-187.923174555857,474.7232146703,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"8","dynamic","ATT(-11)",-11,302.197121019729,234.736416805732,-274.692604494031,879.08684653349,-157.877801779487,762.272043818946,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"9","dynamic","ATT(-10)",-10,252.218771820982,242.506027793842,-343.765599556736,848.2031431987,-223.084308688818,727.521852330783,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"10","dynamic","ATT(-9)",-9,21.5676619878418,196.175673917647,-460.554934151509,503.690258127193,-362.929593533619,406.064917509303,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"11","dynamic","ATT(-8)",-8,32.7240867575325,129.767085442749,-286.192335843156,351.640509358221,-221.614727088988,287.062900604053,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"12","dynamic","ATT(-7)",-7,-56.0131284991603,91.7484019079902,-281.494590273498,169.468333275178,-235.836691877927,123.810434879606,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"13","dynamic","ATT(-6)",-6,-93.4797000128964,87.0279761399076,-307.360213103115,120.400813077322,-264.051398894527,77.0919988687336,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"14","dynamic","ATT(-5)",-5,-66.96598944651,61.5716555429558,-218.284885546896,84.3529066538765,-187.644216779209,53.7122378861893,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"15","dynamic","ATT(-4)",-4,-53.8377757502175,46.220253705965,-167.428968103118,59.753416602683,-144.427808370213,36.7522568697778,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"16","dynamic","ATT(-3)",-3,46.0608130238993,40.9570752374308,-54.5955581224755,146.717184170274,-34.2135793535623,126.335205401361,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"17","dynamic","ATT(-2)",-2,76.2332240498301,58.3588965958955,-67.1899750286266,219.656423128287,-38.1481114556221,190.614559555282,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.45760642240354
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",NA,NA
