"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,942.582169143937,57.5143836905093,802.561534684008,1082.60280360387,829.856048517521,1055.30828977035,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"2","dynamic","ATT(-17)",-17,641.823585326866,131.370430118315,321.998007895258,961.649162758474,384.342273661433,899.304896992299,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"3","dynamic","ATT(-16)",-16,-7.64165392915789,62.4132393175832,-159.588711468253,144.305403609937,-129.9693551501,114.686047291785,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"4","dynamic","ATT(-15)",-15,2.85016469687565,58.7795495079781,-140.250557022829,145.95088641658,-112.35563536625,118.055964760002,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"5","dynamic","ATT(-14)",-14,49.0519825563649,71.2441850721246,-124.394299143522,222.498264256252,-90.5840542929054,188.688019405635,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"6","dynamic","ATT(-13)",-13,119.504960300297,102.037747654798,-128.909249306274,367.919169906868,-80.4853501666932,319.495270767288,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"7","dynamic","ATT(-12)",-12,138.703282536752,132.596210261833,-184.106496452633,461.513061526137,-121.180514062941,398.587079136445,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"8","dynamic","ATT(-11)",-11,163.625311263719,140.704041410824,-178.923245901307,506.173868428745,-112.149542380727,439.400164908166,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"9","dynamic","ATT(-10)",-10,176.315856475957,131.608970033531,-144.090454124111,496.722167076026,-81.6329848321751,434.26469778409,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"10","dynamic","ATT(-9)",-9,153.107690870068,117.599448507906,-133.191984717553,439.407366457688,-77.3829928072008,383.598374547336,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"11","dynamic","ATT(-8)",-8,90.2342413766922,79.20637176169,-102.59624233361,283.064725086994,-65.0073946223104,245.475877375695,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"12","dynamic","ATT(-7)",-7,23.798137366466,37.4720292872051,-67.4287345675074,115.025009300439,-49.6456904640862,97.2419651970181,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"13","dynamic","ATT(-6)",-6,-11.0337246896373,25.4422635000394,-72.9737412347518,50.9062918554772,-60.8996448348925,38.8321954556179,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"14","dynamic","ATT(-5)",-5,-41.2536398306433,26.4550850796517,-105.65940339541,23.1521237341236,-93.1046537947036,10.597374133417,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"15","dynamic","ATT(-4)",-4,-16.0188929285192,23.14092474343,-72.3562255512664,40.318439694228,-61.3742719945937,29.3364861375553,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"16","dynamic","ATT(-3)",-3,59.6084127395384,39.000887145984,-35.3405132902802,154.557338769357,-16.8319214317015,136.048746910778,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"17","dynamic","ATT(-2)",-2,101.365549075783,53.3753447163649,-28.5784606161108,231.309558767676,-3.24820423070271,205.979302382268,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",NA,NA
"19","dynamic","ATT(0)",0,13.724972447538,16.2634702754136,-25.8689739770219,53.318918872098,-18.1508435559104,45.6007884509864,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"20","dynamic","ATT(1)",1,-10.4721561445836,17.9018947959487,-54.0549002604224,33.1105879712551,-45.5592251996681,24.6149129105008,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"21","dynamic","ATT(2)",2,19.0712402111536,24.9988263225088,-41.7892141278339,79.9316945501411,-29.9255590367354,68.0680394590427,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"22","dynamic","ATT(3)",3,38.9449552787776,20.2864752180474,-10.4431272967355,88.3330378542907,-0.815805521859573,78.7057160794147,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"23","dynamic","ATT(4)",4,114.221959137596,30.933915153087,38.9123383413015,189.531579933891,53.5925995367278,174.851318738465,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"24","dynamic","ATT(5)",5,118.231388614247,38.8958963026374,23.5380662013769,212.924711027116,41.9968327146727,194.465944513821,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"25","dynamic","ATT(6)",6,116.559405170052,52.5531692784398,-11.382991723987,244.501802064091,13.5570861108732,219.561724229231,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
"26","dynamic","ATT(7)",7,116.905955827524,83.755711969108,-87.0000443247962,320.811955979843,-47.2522231314385,281.064134786486,45,5,20,"notyettreated","reg",NA,"rate_total_other_drug_1899",1.95996398454005,2.43453246779787
