"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-25.6194045844306,59.3033410432889,-164.635090548693,113.396281379832,-141.851817192173,90.6130080233117,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"2","dynamic","ATT(-17)",-17,-31.2798572132266,228.863042920676,-567.76822943263,505.208515006177,-479.843178729995,417.283464303542,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"3","dynamic","ATT(-16)",-16,-58.5412488813274,141.627958427269,-390.537852211199,273.455354448544,-336.126946602711,219.044448840056,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"4","dynamic","ATT(-15)",-15,-1749.01085150191,1563.08924633376,-5413.12015765103,1915.0984546472,-4812.60947893794,1314.58777593411,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"5","dynamic","ATT(-14)",-14,-898.821313335492,601.168175011952,-2308.04724831556,510.404621644573,-2077.08928501059,279.446658339607,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"6","dynamic","ATT(-13)",-13,-565.128202925185,490.952213119253,-1715.99183862871,585.735432778344,-1527.37685876915,397.120452918783,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"7","dynamic","ATT(-12)",-12,-526.554327493489,461.684187150378,-1608.80943903456,555.700784047581,-1431.43870653988,378.330051552901,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"8","dynamic","ATT(-11)",-11,-231.481380130989,327.461437081589,-999.098777429245,536.136017167266,-873.294003136632,410.331242874653,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"9","dynamic","ATT(-10)",-10,-75.0342866608692,173.935127719519,-482.763609627013,332.695036305275,-415.9408726375,265.872299315762,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"10","dynamic","ATT(-9)",-9,-107.65097249558,199.043342316313,-574.237614697134,358.935669705974,-497.768754798031,282.466809806871,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"11","dynamic","ATT(-8)",-8,-98.4392585358716,199.536406857505,-566.181715978398,369.303198906655,-489.523429581112,292.644912509368,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"12","dynamic","ATT(-7)",-7,-212.407729353553,157.591386452694,-581.824937631731,157.009478924626,-521.281171074567,96.4657123674617,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"13","dynamic","ATT(-6)",-6,-233.114568176122,130.049798552813,-537.970275076963,71.7411387247178,-488.007489536325,21.77835318408,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"14","dynamic","ATT(-5)",-5,-232.013804466187,114.633586831178,-500.731661293977,36.704052361602,-456.691506073941,-7.33610285843349,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"15","dynamic","ATT(-4)",-4,-139.966624571292,48.557607068198,-253.792741896474,-26.1405072461105,-235.137785600408,-44.7954635421766,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"16","dynamic","ATT(-3)",-3,-110.272614617272,204.246878407692,-589.057104806089,368.511875571545,-510.58914025108,290.043911016536,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"17","dynamic","ATT(-2)",-2,-42.1414130668218,32.2613004237978,-117.766609381473,33.4837832478289,-105.372399991892,21.0895738582486,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",NA,NA
"19","dynamic","ATT(0)",0,-10.5772999879205,39.9427138758423,-104.20885043752,83.0542504616786,-88.8635806293596,67.7089806535186,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"20","dynamic","ATT(1)",1,-76.049587148978,62.4001253665744,-222.324587502807,70.225413204851,-198.351585498248,46.2524112002921,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"21","dynamic","ATT(2)",2,-53.574791366382,94.4829346390537,-275.056578727687,167.906995994923,-238.757940412579,131.608357679815,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"22","dynamic","ATT(3)",3,-76.7399205898098,86.9865629834031,-280.64911879138,127.169277611761,-247.230451176205,93.7506099965853,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"23","dynamic","ATT(4)",4,330.557937900966,297.419955342031,-366.637842032444,1027.75371783438,-252.374462852926,913.490338654858,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"24","dynamic","ATT(5)",5,187.485656880334,207.868251448925,-299.787860209884,674.759173970553,-219.928629488874,594.899943249543,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"25","dynamic","ATT(6)",6,224.890425672463,226.34521210596,-305.695783672269,755.476635017195,-218.738038128297,668.518889473223,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
"26","dynamic","ATT(7)",7,124.705699575215,259.190901110141,-482.875598200573,732.286997351004,-383.299131721144,632.710530871575,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.34414593711992
