"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-2.46240102687773,73.1108554184117,-178.339432687532,173.414630633777,-145.75704452588,140.832242472124,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"2","dynamic","ATT(-17)",-17,68.8084134417522,222.566303228841,-466.601828109271,604.218654992775,-367.413525058997,505.030351942502,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"3","dynamic","ATT(-16)",-16,40.9971249271147,99.0733375225381,-197.335806898903,279.330056753132,-153.183048445241,235.17729829947,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"4","dynamic","ATT(-15)",-15,58.9846552623709,102.00250035959,-186.394733099862,304.364043624604,-140.93657177546,258.905882300201,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"5","dynamic","ATT(-14)",-14,9.82853142146607,87.1083238765348,-199.721108623939,219.378171466872,-160.900646130193,180.557708973125,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"6","dynamic","ATT(-13)",-13,105.587517654092,73.1456305686997,-70.3731698490939,281.548205157277,-37.7752838870316,248.950319195215,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"7","dynamic","ATT(-12)",-12,129.958137836104,77.0386395121382,-55.3676549347176,315.283930606926,-21.0348210256511,280.951096697859,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"8","dynamic","ATT(-11)",-11,99.574751819823,64.0551103464216,-54.5175865333568,253.667090173003,-25.9709574849023,225.120461124548,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"9","dynamic","ATT(-10)",-10,69.0526307479325,59.5991012015386,-74.320237056454,212.425498552319,-47.759461118041,185.864722613906,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"10","dynamic","ATT(-9)",-9,20.4031266752656,70.2257071199807,-148.533330761153,189.339584111685,-117.236730068755,158.042983419286,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"11","dynamic","ATT(-8)",-8,36.1707493498033,69.8162958592277,-131.780819633901,204.122318333508,-100.666676068276,173.008174767882,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"12","dynamic","ATT(-7)",-7,-38.2094643041635,63.1234961029225,-190.06069158209,113.641762973763,-161.929243244146,85.5103146358189,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"13","dynamic","ATT(-6)",-6,-63.1142741361483,41.5726242418994,-163.12226485332,36.8937165810238,-144.595120393088,18.3665721207912,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"14","dynamic","ATT(-5)",-5,-99.6671761911243,47.9837334961232,-215.097867939928,15.7635155576797,-193.713565687294,-5.62078669495472,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"15","dynamic","ATT(-4)",-4,-58.2343699334346,33.838921098144,-139.637999576125,23.1692597092557,-124.557436561489,8.08869669462024,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"16","dynamic","ATT(-3)",-3,-111.001225428249,62.8567740006113,-262.210820333469,40.2083694769706,-234.198238653821,12.1957877973227,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"17","dynamic","ATT(-2)",-2,-19.080777406052,21.3391753626665,-70.4147523594733,32.2531975473693,-60.9047925766628,22.7432377645588,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",NA,NA
"19","dynamic","ATT(0)",0,32.7939197161014,18.6632300153882,-12.1027440901312,77.690583522334,-3.78533894924645,69.3731783814492,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"20","dynamic","ATT(1)",1,40.040038989476,31.4129798272403,-35.5276946393076,115.60777261826,-21.5282701189983,101.60834809795,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"21","dynamic","ATT(2)",2,56.9233494248043,57.0627724048548,-80.3480717814912,194.1947706311,-54.9176293467171,168.764328196326,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"22","dynamic","ATT(3)",3,42.9620528071817,55.0778445262992,-89.5343835990737,175.458489213437,-64.9885388104612,150.912644424825,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"23","dynamic","ATT(4)",4,391.707844354002,235.711033191932,-175.323639687738,958.739328395741,-70.2772914609106,853.692980168914,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"24","dynamic","ATT(5)",5,209.29114861561,135.166392229025,-115.868004693025,534.450301924244,-55.6301120734946,474.212409304714,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"25","dynamic","ATT(6)",6,262.868786845063,143.09374490028,-81.3605749677432,607.09814865787,-17.5897995724482,543.327373262575,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
"26","dynamic","ATT(7)",7,233.971145757062,197.91883701283,-242.146625869766,710.08891738389,-153.942646650138,621.884938164261,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.40562130827378
