"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-23.8837975370432,61.1068371091765,-171.991728971596,124.224133897509,-143.650997480185,95.8834024060985,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"2","dynamic","ATT(-17)",-17,-39.5632890024377,356.452842554784,-903.517236912257,824.390658907382,-738.198022596741,659.071444591866,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"3","dynamic","ATT(-16)",-16,1063.59254490045,685.235969128583,-597.250770404185,2724.43586020509,-279.445275502969,2406.63036530387,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"4","dynamic","ATT(-15)",-15,-2905.11869679274,1937.66010656497,-7601.52983150513,1791.29243791964,-6702.86271994013,892.625326354645,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"5","dynamic","ATT(-14)",-14,-935.711310624339,593.782130252263,-2374.89303225951,503.470411010832,-2099.50290058225,228.080279333567,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"6","dynamic","ATT(-13)",-13,-610.005322099688,532.85051072302,-1901.50379658349,681.493152384109,-1654.37313226058,434.362488061205,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"7","dynamic","ATT(-12)",-12,-592.347848144587,494.024541131579,-1789.74172952278,605.046033233609,-1560.61815624141,375.922459952233,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"8","dynamic","ATT(-11)",-11,-294.490601859786,352.470049738355,-1148.79124036464,559.810036645067,-985.319204976003,396.338001256431,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"9","dynamic","ATT(-10)",-10,-91.5718121037431,188.522293102296,-548.503444987854,365.359820780368,-461.068716867147,277.92509265966,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"10","dynamic","ATT(-9)",-9,-117.480976605444,206.466993259472,-617.906145503279,382.944192292391,-522.148847390284,287.186894179396,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"11","dynamic","ATT(-8)",-8,-105.448364977385,224.079030920882,-648.560777885548,437.664047930779,-544.635195272951,333.738465318181,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"12","dynamic","ATT(-7)",-7,-210.927336494967,171.23341608677,-625.954987226951,204.100314237016,-546.538664974798,124.683991984864,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"13","dynamic","ATT(-6)",-6,-238.690989910155,135.987066909492,-568.290166281081,90.9081864607707,-505.220743415997,27.8387635956874,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"14","dynamic","ATT(-5)",-5,-232.393203679085,114.401931552168,-509.675325220348,44.8889178621773,-456.61686928315,-8.16953807502009,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
"15","dynamic","ATT(-4)",-4,-138.092380550049,48.2835791308468,-255.11989114677,-21.0648699533286,-232.726456691199,-43.4583044088999,43,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.42375384557927
