"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-6.09353706103119,23.0913593385592,-63.7974754018815,51.6104012798191,-51.3517697186799,39.1646955966175,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"2","dynamic","ATT(-17)",-17,-116.255696934682,166.194573428216,-531.566085425828,299.054691556464,-441.991075279982,209.479681410619,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"3","dynamic","ATT(-16)",-16,40.2841640219583,74.9114792280079,-146.915182496226,227.483510540143,-106.539637293558,187.107965337474,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"4","dynamic","ATT(-15)",-15,-117.51790993623,83.7842108591238,-326.889686905568,91.8538670331091,-281.731945693222,46.6961258207626,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"5","dynamic","ATT(-14)",-14,-290.959504806662,105.686313393243,-555.063337850906,-26.8556717624187,-498.100872716232,-83.8181368970928,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"6","dynamic","ATT(-13)",-13,-151.490498488232,134.213297233862,-486.881573329485,183.90057635302,-414.543727312971,111.562730336506,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"7","dynamic","ATT(-12)",-12,-119.663940444236,147.95249911376,-489.388466448162,250.060585559691,-409.6455101299,170.317629241429,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"8","dynamic","ATT(-11)",-11,-76.0802966853441,116.727861194007,-367.776303240954,215.615709870266,-304.862700617988,152.7021072473,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"9","dynamic","ATT(-10)",-10,60.6216838786943,132.328605890592,-270.059659003125,391.303026760513,-198.737617791261,319.980985548649,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"10","dynamic","ATT(-9)",-9,74.6558447588426,90.7720959142343,-152.178242784812,301.489932302497,-103.254194034272,252.565883551957,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"11","dynamic","ATT(-8)",-8,58.2395787849339,70.2574416268721,-117.329603617122,233.80876118699,-79.4624764496606,195.941634019528,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"12","dynamic","ATT(-7)",-7,85.3495349769135,51.5988384810079,-43.5929040762805,214.291974030107,-15.7823300899614,186.481400043788,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"13","dynamic","ATT(-6)",-6,151.041861272399,63.5633305366471,-7.79913428133511,309.882856826134,26.4600226831561,275.623699861643,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"14","dynamic","ATT(-5)",-5,147.278095134395,53.5941595246273,13.3494670577185,281.206723211072,42.2354726844313,252.320717584359,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"15","dynamic","ATT(-4)",-4,-65.7056012218381,194.272685157403,-551.181526708592,419.770324264916,-446.473067310238,315.061864866562,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"16","dynamic","ATT(-3)",-3,57.8136588608378,68.2486471028167,-112.735665088711,228.362982810387,-75.9512314542668,191.578549175942,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"17","dynamic","ATT(-2)",-2,21.5928782411005,32.3031642503446,-59.1308145821108,102.316571064312,-41.7201602762568,84.9059167584578,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",NA,NA
"19","dynamic","ATT(0)",0,30.2572989866667,22.1012071337282,-24.9723076815472,85.4869056548806,-13.0602710103003,73.5748689836337,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"20","dynamic","ATT(1)",1,95.0562831262932,37.4058665902844,1.58123959745596,188.53132665513,21.7421317988257,168.370434453761,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
"21","dynamic","ATT(2)",2,61.982239899044,57.7530282034736,-82.3391545060791,206.303634304167,-51.2116153778901,175.176095175978,37,2,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.49894072907579
