"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-40.551427182813,24.5768391252713,-101.436468223271,20.3336138576454,-88.7211467221796,7.61829235655357,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"2","dynamic","ATT(-17)",-17,-5.54923836239555,90.1863312996405,-228.97091006227,217.872433337479,-182.311199607488,171.212722882697,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"3","dynamic","ATT(-16)",-16,-7.21522145810457,26.6680305984862,-73.2808423941781,58.850399477969,-59.4836009697497,45.0531580535406,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"4","dynamic","ATT(-15)",-15,-127.92182131357,96.7879149517052,-367.69782114894,111.854178521801,-317.622648757638,61.7790061304982,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"5","dynamic","ATT(-14)",-14,-175.482381686296,97.3487166501302,-416.64767467894,65.6829113063488,-366.282360261746,15.3175968891543,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"6","dynamic","ATT(-13)",-13,-117.566594132474,104.534782170148,-376.53417210878,141.400983843833,-322.451002317703,87.3178140527558,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"7","dynamic","ATT(-12)",-12,-90.066054861818,98.5829681331207,-334.28900111138,154.156891387744,-283.285121891794,103.153012168158,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"8","dynamic","ATT(-11)",-11,-71.2206437010968,85.5771556570649,-283.223847520277,140.782560118083,-238.948786688322,96.5074992861284,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"9","dynamic","ATT(-10)",-10,-26.9345536767106,64.2783344665712,-186.173461986336,132.304354632915,-152.91777421741,99.0486668639884,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"10","dynamic","ATT(-9)",-9,-25.9071491432433,51.4696071009022,-153.414560682281,101.600262395795,-126.785725359439,74.971427072952,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"11","dynamic","ATT(-8)",-8,-30.0082224783813,49.1353952738216,-151.73301151806,91.7165665612975,-126.311827581211,66.2953826244485,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"12","dynamic","ATT(-7)",-7,-39.4502081426788,44.8324555420326,-150.515177958688,71.6147616733309,-127.320206343556,48.4197900581982,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"13","dynamic","ATT(-6)",-6,-51.5502199912977,34.0076816101606,-135.798608483063,32.6981685004676,-118.204051144918,15.1036111623222,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"14","dynamic","ATT(-5)",-5,-76.3201218600654,43.2610740140888,-183.492254670819,30.8520109506884,-161.110268860201,8.47002514007022,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"15","dynamic","ATT(-4)",-4,-64.3308857307355,29.9560875837656,-138.54212227961,9.88035081813884,-123.043738512644,-5.61803294882736,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"16","dynamic","ATT(-3)",-3,-47.8126204752302,64.7496735593493,-208.219193180651,112.593952230191,-174.71964866228,79.0944077118199,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"17","dynamic","ATT(-2)",-2,-41.1860935675076,18.825798733456,-87.823886274027,5.4516991390117,-78.0839810652811,-4.28820606973419,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",NA,NA
"19","dynamic","ATT(0)",0,0.0673198729051434,9.62703625349708,-23.7820650868331,23.9167048326434,-18.8013244618105,18.9359642076208,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"20","dynamic","ATT(1)",1,-1.84838293545656,18.1692842921424,-46.8597700452558,43.1630041743427,-37.459525772925,33.7627599020119,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"21","dynamic","ATT(2)",2,18.2147030312442,22.5615294579446,-37.6777426970592,74.1071487595477,-26.0050821424667,62.4344882049552,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"22","dynamic","ATT(3)",3,36.7350199900217,23.3059569305329,-21.0016212830853,94.4716612631287,-8.94381621906439,82.4138561991077,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"23","dynamic","ATT(4)",4,39.005626456249,122.917295423098,-265.501578000412,343.51283091291,-201.907845650093,279.919098562591,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
"24","dynamic","ATT(5)",5,-3.00446065968378,123.518786123123,-309.001758523794,302.992837204426,-245.096832875111,239.087911555743,45,5,20,"notyettreated","reg",NA,"rate_total_property_1899",1.95996398454005,2.47733407579875
