"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,21.0265852384313,8.50621898080278,1.02142105264614,41.0317494242164,4.35470239144682,37.6984680854157,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"2","dynamic","ATT(-17)",-17,22.1044963764926,33.2510340900083,-56.096217456409,100.305210209394,-43.0663328886372,87.2753256416223,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"3","dynamic","ATT(-16)",-16,30.4282682596779,14.1040166234377,-2.74195330029963,63.5984898196554,2.78490364038573,58.07163287897,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"4","dynamic","ATT(-15)",-15,4.35849109338266,28.0055539169525,-61.5057554639777,70.222737650743,-50.5313859509389,59.2483681377042,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"5","dynamic","ATT(-14)",-14,7.10725086297828,12.7702800769374,-22.9262517089814,37.140753434938,-17.9220381603084,32.1365398862649,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"6","dynamic","ATT(-13)",-13,2.84910686010079,12.6484516905881,-26.8978762986029,32.5960900188045,-21.9414029136466,27.6396166338482,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"7","dynamic","ATT(-12)",-12,-5.12735249912437,19.6164445583622,-51.2618565622153,41.0071515639666,-43.574877338241,33.3201723399923,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"8","dynamic","ATT(-11)",-11,-11.4434567498887,24.7037314573375,-69.542384713173,46.6554712133956,-59.8618806900195,36.9749671902421,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"9","dynamic","ATT(-10)",-10,-19.1745076695836,28.3816081902944,-85.9231692059081,47.5741538667409,-74.8014375458877,36.4524222067205,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
"10","dynamic","ATT(-9)",-9,-24.1665779246045,21.6382530588236,-75.0560278802508,26.7228720310419,-66.5767746082623,18.2436187590534,45,5,20,"notyettreated","reg",NA,"rate_total_synth_narc_1899",1.95996398454005,2.35182802499368
