"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-213.124321105738,90.6581755756855,-442.881842665429,16.6332004539524,-390.811080138191,-35.4375620732862,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"2","dynamic","ATT(-17)",-17,640.623692635306,666.19250235378,-1047.72638997439,2328.973775245,-665.089618748717,1946.33700401933,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"3","dynamic","ATT(-16)",-16,679.639780443964,393.123695218313,-316.664472384742,1675.94403327267,-90.8685036532313,1450.14806454116,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"4","dynamic","ATT(-15)",-15,319.48494600152,404.210899373029,-704.917914938785,1343.88780694182,-472.75385892816,1111.7237509312,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"5","dynamic","ATT(-14)",-14,500.034109075169,236.206633597084,-98.5908948652298,1098.65911301557,37.0776143154353,962.990603834903,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"6","dynamic","ATT(-13)",-13,606.475925477442,432.694325182026,-490.113269214319,1703.0651201692,-241.589368194191,1454.54121914907,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"7","dynamic","ATT(-12)",-12,763.227748044951,292.309014436091,22.4209288042105,1504.03456728569,190.312607393814,1336.14288869609,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"8","dynamic","ATT(-11)",-11,74.9850542941307,274.290302948603,-620.156446107183,770.126554695445,-462.614060793711,612.584169381973,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"9","dynamic","ATT(-10)",-10,-93.581590282903,123.04944154762,-405.429192992302,218.266012426496,-334.754064034005,147.590883468199,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"10","dynamic","ATT(-9)",-9,-14.4747509782472,95.4540952668344,-256.38670444483,227.437202488335,-201.561339878098,172.611837921603,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"11","dynamic","ATT(-8)",-8,-12.4312877735409,268.82358364593,-693.718330261171,668.855754714089,-539.315829914554,514.453254367472,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"12","dynamic","ATT(-7)",-7,-51.0608555463445,106.304799195494,-320.472048061098,218.350336968409,-259.414433353275,157.292722260586,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"13","dynamic","ATT(-6)",-6,86.0264736005348,88.7405463741114,-138.87114724059,310.92409444166,-87.9018012611301,259.9547484622,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"14","dynamic","ATT(-5)",-5,32.3796171182021,138.551145404636,-318.754382383585,383.513616619989,-239.175637891658,303.934872128062,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"15","dynamic","ATT(-4)",-4,96.049965393037,148.412240602175,-280.075280381504,472.175211167578,-194.832681052118,386.932611838192,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"16","dynamic","ATT(-3)",-3,-39.8429779637324,178.385530390187,-491.930360974697,412.244405047233,-389.472192891574,309.786236964109,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"17","dynamic","ATT(-2)",-2,84.1429440781766,123.495742938237,-228.835732588155,397.121620744508,-157.904264324784,326.190152481137,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",NA,NA
"19","dynamic","ATT(0)",0,-39.7085027726936,55.5376834515777,-180.459189867079,101.042184321692,-148.560362122572,69.1433565771848,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"20","dynamic","ATT(1)",1,4.66652319266758,70.3703388927826,-173.674972791039,183.008019176374,-133.256806617065,142.5898530024,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
"21","dynamic","ATT(2)",2,-95.7048026356779,53.9046719168374,-232.316903435801,40.9072981644456,-201.356018191127,9.94641291977111,37,2,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.53432765551165
