"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,409.912174000383,46.0903405442119,292.245354250867,527.578993749898,319.576766498541,500.247581502224,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"2","dynamic","ATT(-17)",-17,141.706988196304,124.863660386455,-177.065007117208,460.478983509815,-103.021289138988,386.435265531596,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"3","dynamic","ATT(-16)",-16,348.11776648209,141.708906284234,-13.6594765533134,709.895009517494,70.373413876431,625.86211908775,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"4","dynamic","ATT(-15)",-15,810.555817353915,698.345544996237,-972.292788139163,2593.40442284699,-558.176299602704,2179.28793431053,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"5","dynamic","ATT(-14)",-14,242.889274529166,192.860880699667,-249.476939694226,735.255488752557,-135.111105668858,620.889654727189,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"6","dynamic","ATT(-13)",-13,205.032458504098,216.441953318726,-347.535303128243,757.600220136439,-219.185974744104,629.250891752299,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"7","dynamic","ATT(-12)",-12,133.981902903663,205.917937952405,-391.718462989605,659.682268796931,-269.609839253804,537.57364506113,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"8","dynamic","ATT(-11)",-11,269.097762753799,421.312632706229,-806.496755001685,1344.69228050928,-556.659823582162,1094.85534908976,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"9","dynamic","ATT(-10)",-10,232.174591302352,187.397664366819,-246.244247312626,710.59342991733,-135.118081643539,599.467264248242,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"10","dynamic","ATT(-9)",-9,214.125734037713,147.857977380958,-163.349844740538,591.601312815965,-75.6705764559015,503.922044531329,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"11","dynamic","ATT(-8)",-8,140.628224872472,150.052926949261,-242.450973496419,523.707423241363,-153.470107722899,434.726557467843,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"12","dynamic","ATT(-7)",-7,29.1824668376547,68.0799595244573,-144.622982011966,202.987915687275,-104.251801899226,162.616735574536,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"13","dynamic","ATT(-6)",-6,-33.7756110771385,46.8038543682592,-153.264003449716,85.7127812954393,-125.509479976584,57.9582578223072,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"14","dynamic","ATT(-5)",-5,0.867647540542843,34.7703214197214,-87.8996103017486,89.6349053828343,-67.2809301729928,69.0162252540784,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"15","dynamic","ATT(-4)",-4,-40.2088854305165,44.1391405691313,-152.894368677585,72.4765978165524,-126.720011254565,46.3022403935316,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"16","dynamic","ATT(-3)",-3,-35.4519821134348,43.5360706714745,-146.597851721159,75.6938874942888,-120.781112657915,49.8771484310457,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"17","dynamic","ATT(-2)",-2,-18.4509758172833,46.3732569721437,-136.840070037687,99.9381184031204,-109.340889328506,72.4389376939394,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",NA,NA
"19","dynamic","ATT(0)",0,34.5606293613114,21.4703484311556,-20.2523225279178,89.3735812505407,-7.52048029927963,76.6417390219025,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"20","dynamic","ATT(1)",1,44.357646965008,37.8397075330403,-52.2456324443429,140.960926374359,-29.80681698528,118.522110915296,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"21","dynamic","ATT(2)",2,58.7098514708819,48.9761321025208,-66.3242801951181,183.743983136882,-37.2816035521348,154.701306493899,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"22","dynamic","ATT(3)",3,52.0493459010353,51.7930297725754,-80.1762143046864,184.274906106757,-49.4631271034231,153.561818905494,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"23","dynamic","ATT(4)",4,31.8660362474769,68.5854962069768,-143.230027793883,206.962100288837,-102.559066180006,166.29113867496,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"24","dynamic","ATT(5)",5,96.6948746157379,140.439563881942,-261.841787380617,455.231536612093,-178.56161259738,371.951361828856,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"25","dynamic","ATT(6)",6,166.174901599368,133.735695359582,-175.247048730053,507.59685192879,-95.9422447528329,428.292047951569,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
"26","dynamic","ATT(7)",7,83.529572118743,163.276789246096,-333.309624612094,500.36876884958,-236.487054314943,403.546198552429,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.55296051971333
