"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-13.4041782417835,8.46058438773558,-34.0211070001273,7.21275051656028,-29.9866189299071,3.17826244634009,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"2","dynamic","ATT(-17)",-17,-20.7595896788492,37.3088376144719,-111.674544474313,70.1553651166143,-93.8835677082674,52.364388350569,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"3","dynamic","ATT(-16)",-16,55.8747961635425,21.778930832523,2.80344259866194,108.946149728423,13.1888761100085,98.5607162170765,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"4","dynamic","ATT(-15)",-15,52.9418911902132,49.4698553745453,-67.6072856989196,173.491068079346,-44.0172436643008,149.901026044727,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"5","dynamic","ATT(-14)",-14,63.1692441884571,59.6868305570439,-82.2768712346955,208.61535961161,-53.8147940546938,180.153282431608,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"6","dynamic","ATT(-13)",-13,60.6150695506168,49.9744581790453,-61.1637339925231,182.393873093757,-37.333068627215,158.563207728449,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"7","dynamic","ATT(-12)",-12,15.2225016961205,39.1683771837398,-80.223817963275,110.668821355516,-61.5461069168898,91.9911103091308,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"8","dynamic","ATT(-11)",-11,35.0146766569978,52.9677028727116,-94.0581280777224,164.087481391718,-68.8001133173357,138.829466631331,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"9","dynamic","ATT(-10)",-10,37.6780445084687,46.787601862512,-76.3349609963833,151.691050013321,-54.0239700650538,129.380059081991,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"10","dynamic","ATT(-9)",-9,31.8442172271023,33.4424711674941,-49.6490950507896,113.337529504994,-33.7018218152053,97.3902562694099,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"11","dynamic","ATT(-8)",-8,28.714545560811,26.7878549907895,-36.5626590179341,93.9917501395561,-23.788685444218,81.21777656584,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"12","dynamic","ATT(-7)",-7,16.0900970183326,15.5418232493344,-21.7825425088832,53.9627365455484,-14.3713168044502,46.5515108411153,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"13","dynamic","ATT(-6)",-6,6.59205419614195,9.42642400361048,-16.3784527123523,29.5625611046363,-11.8833973539385,25.0675057462224,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"14","dynamic","ATT(-5)",-5,-2.17931015760681,5.02331817420045,-14.4202368101572,10.0616164949436,-12.0248328619252,7.66621254671156,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771906
"15","dynamic","ATT(-4)",-4,-10.2662302532844,7.83612160376236,-29.3614550560391,8.82899454947022,-25.6247463751349,5.09228586856603,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"16","dynamic","ATT(-3)",-3,-13.3404876696178,7.97010230985734,-32.762199455536,6.08122411630049,-28.9616011500376,2.28062581080212,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"17","dynamic","ATT(-2)",-2,-3.50667742220781,6.33099144879017,-18.9341696245904,11.9208147801748,-15.9151926482676,8.90183780385197,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",NA,NA
"19","dynamic","ATT(0)",0,-5.82782241566939,2.57749123475683,-12.1087068944376,0.453062063098834,-10.8796124062604,-0.776032425078328,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.43682088771905
