"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-3.72302869859172,9.65091195491648,-25.527363932166,18.0813065349826,-22.6384685481951,15.1924111510116,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"2","dynamic","ATT(-17)",-17,-29.2024343196799,21.520963300437,-77.824813276637,19.4199446372772,-71.3827473011446,12.9778786617848,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"3","dynamic","ATT(-16)",-16,54.6202224009436,26.2660588496396,-4.72276560865835,113.963210410545,3.13969303984042,106.100751762047,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"4","dynamic","ATT(-15)",-15,47.9329922157244,37.2403863403526,-36.2043278412894,132.070312272738,-25.0568237817241,120.922808213173,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"5","dynamic","ATT(-14)",-14,36.9349187647906,34.7722241238858,-41.6260747616233,115.495912291205,-31.2173881803803,105.087225709962,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"6","dynamic","ATT(-13)",-13,36.9346375689513,33.8540422986629,-39.5519049194615,113.421180057364,-29.4180660675236,103.287341205426,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"7","dynamic","ATT(-12)",-12,17.7552670851432,23.8394639209624,-36.1053074957449,71.6158416660313,-28.9692236106851,64.4797577809715,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"8","dynamic","ATT(-11)",-11,14.1856841439721,21.3473880426063,-34.044535696036,62.4159039839802,-27.6544275835373,56.0257958714815,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"9","dynamic","ATT(-10)",-10,13.0295822465093,20.465394486126,-33.2079468230113,59.2671113160299,-27.0818538757023,53.1410183687209,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"10","dynamic","ATT(-9)",-9,17.9194223881599,21.8358745986644,-31.4144366390194,67.2532814153391,-24.8781053961554,60.7169501724751,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"11","dynamic","ATT(-8)",-8,19.427223949684,16.5842518653571,-18.0416275909272,56.8960754902952,-13.0773124169571,51.931760316325,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"12","dynamic","ATT(-7)",-7,15.0187108888217,13.3401414982934,-15.1207120642522,45.1581338418956,-11.1274859965015,41.1649077741449,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"13","dynamic","ATT(-6)",-6,5.36268294896433,7.76547285442465,-12.18187389251,22.9072397904386,-9.85736416863143,20.5827300665601,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"14","dynamic","ATT(-5)",-5,-2.52313127095626,2.81625856448691,-8.88591295742836,3.83965041551585,-8.04289662850307,2.99663408659055,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"15","dynamic","ATT(-4)",-4,-9.9641742515245,3.29647397445585,-17.4119080992229,-2.51644040382612,-16.4251445174316,-3.50320398561742,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"16","dynamic","ATT(-3)",-3,-13.8803179621242,7.25946567901304,-30.2816512269242,2.5210153026758,-28.1086092399943,0.347973315745993,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"17","dynamic","ATT(-2)",-2,-1.70761652645183,2.72452529018971,-7.86314494253941,4.44791188963575,-7.0475879701922,3.63235491728854,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",NA,NA
"19","dynamic","ATT(0)",0,-4.40374505645266,2.09640611739593,-9.14016188244291,0.332671769537576,-8.51262554351814,-0.294864569387194,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"20","dynamic","ATT(1)",1,-2.20967636271903,3.41199901239019,-9.91841628598403,5.49906356054597,-8.89707154229003,4.47771881685198,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"21","dynamic","ATT(2)",2,-1.0783905370285,6.6458676068166,-16.0934197792298,13.9366387051728,-14.1040516924104,11.9472706183534,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
"22","dynamic","ATT(3)",3,-2.63977240993472,4.38905180576502,-12.5559707316563,7.27642591178682,-11.2421558755146,5.96261105564521,45,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.25930309336896
