"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,-8.44651192245344,4.69449620364351,-19.7018748128047,2.80885096789778,-17.6475554071547,0.754531562247848,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"2","dynamic","ATT(-17)",-17,-45.6850331391341,61.4146573832221,-192.930706721373,101.560640443105,-166.055549733116,74.6854834548482,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"3","dynamic","ATT(-16)",-16,322.146554853292,149.172128345167,-35.5034175437044,679.796527250288,29.7745557995775,614.518553907006,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"4","dynamic","ATT(-15)",-15,281.329204909291,165.733148873181,-116.0269016055,678.685311424083,-43.5017979265581,606.160207745141,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"5","dynamic","ATT(-14)",-14,97.0447878301072,69.9709941185835,-70.7152648869559,264.80484054717,-40.0958406047803,234.185416264995,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"6","dynamic","ATT(-13)",-13,85.1434461611057,64.1934547198173,-68.7645764923385,239.05146881455,-40.6734131329389,210.96030545515,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"7","dynamic","ATT(-12)",-12,22.0840838272971,43.2679359250522,-81.653633539469,125.821801194063,-62.719512271192,106.887679925786,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"8","dynamic","ATT(-11)",-11,55.8002101437518,65.3140218370411,-100.79444575003,212.394866037534,-72.2129203423115,183.813340629815,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"9","dynamic","ATT(-10)",-10,55.6506292682863,58.581988003328,-84.8035334816828,196.104792018255,-59.167957360994,170.469215897567,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"10","dynamic","ATT(-9)",-9,40.9334480468382,39.9570917389302,-54.8663029926166,136.733199086293,-37.3810126884279,119.247908782104,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"11","dynamic","ATT(-8)",-8,34.7312929028197,31.7771210435619,-41.4564412950086,110.919027100648,-27.5507198749316,97.0133056805709,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"12","dynamic","ATT(-7)",-7,17.3373643412646,17.5059553381565,-24.6343130285686,59.3090417110979,-16.9736776364888,51.6484063190181,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"13","dynamic","ATT(-6)",-6,8.02725346631342,10.8341723335148,-17.9483860784944,34.0028930111212,-13.2073341096759,29.2618410423027,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"14","dynamic","ATT(-5)",-5,-2.21427354768885,5.61282447371943,-15.6713887632738,11.2428416678961,-13.2152073677239,8.78666027234621,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"15","dynamic","ATT(-4)",-4,-9.98251099544295,8.22049381893297,-29.6916846865771,9.72666269569117,-26.0943828156857,6.12936082479979,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"16","dynamic","ATT(-3)",-3,-13.5173081107449,8.02936406760909,-32.7682356734397,5.73361945194988,-29.2545725020187,2.21995628052894,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"17","dynamic","ATT(-2)",-2,-3.60346188325185,6.23162663857461,-18.5441959198243,11.3372721533206,-15.8172256599585,8.61030189345479,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",NA,NA
"19","dynamic","ATT(0)",0,-5.88223131977563,2.55827131780733,-12.0158547811282,0.251392141576964,-10.8963509653598,-0.868111674191443,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"20","dynamic","ATT(1)",1,-1.02208639153989,6.07100574555463,-15.5777212906779,13.5335485075982,-12.9210390027627,10.8768662196829,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"21","dynamic","ATT(2)",2,-2.49897214007745,7.65297243382337,-20.8474760467764,15.8495317666215,-17.4985224850491,12.5005782048942,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"22","dynamic","ATT(3)",3,-0.75816511855587,7.39949626370167,-18.498943264062,16.9826130269503,-15.2609112991498,13.7445810620381,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"23","dynamic","ATT(4)",4,-1.46537918326745,13.975670678517,-34.9729672819998,32.0422089154649,-28.8571903729532,25.9264320064183,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"24","dynamic","ATT(5)",5,3.03160535505533,21.621050327941,-48.8062824512339,54.8694931613446,-39.344874595637,45.4080853057476,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"25","dynamic","ATT(6)",6,10.35905758573,27.052955324377,-54.5021791101266,75.2202942815866,-42.66376052542,63.38187569688,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
"26","dynamic","ATT(7)",7,-3.03121717068049,22.6312607713056,-57.2911508456757,51.2287165043148,-47.3876732071735,41.3252388658126,43,5,20,"notyettreated","reg",NA,"rate_total_violent_1899",1.95996398454005,2.39756566031849
