="% 22 Apr 2025 13:27:39"
="Appendix Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="255.2",="(198.4)",="900"
="black",="743.4",="(377.4)",="900"
="white",="204.0",="(154.0)",="900"
="Notes: "

="% 22 Apr 2025 13:27:39"
="Appendix Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="cannabis Sales Arrest Rate",="29.4",="(19.0)",="900"
="heroin_coke Sales Arrest Rate",="47.1",="(41.2)",="900"
="synth_narc Sales Arrest Rate",="11.1",="(14.9)",="900"
="other_drug Sales Arrest Rate",="25.1",="(20.9)",="900"
="black",="",="",=""
="cannabis Sales Arrest Rate",="99.0",="(67.5)",="900"
="heroin_coke Sales Arrest Rate",="241.6",="(219.2)",="900"
="synth_narc Sales Arrest Rate",="17.6",="(23.3)",="900"
="other_drug Sales Arrest Rate",="39.0",="(75.0)",="900"
="white",="",="",=""
="cannabis Sales Arrest Rate",="21.6",="(15.6)",="900"
="heroin_coke Sales Arrest Rate",="23.7",="(16.3)",="900"
="synth_narc Sales Arrest Rate",="11.1",="(15.2)",="900"
="other_drug Sales Arrest Rate",="24.7",="(21.4)",="900"
="Notes: "

="% 22 Apr 2025 13:27:40"
="Appendix Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="cannabis Possession Arrest Rate",="225.8",="(197.0)",="900"
="heroin_coke Possession Arrest Rate",="145.0",="(115.2)",="900"
="synth_narc Possession Arrest Rate",="24.1",="(26.6)",="900"
="other_drug Possession Arrest Rate",="133.1",="(194.6)",="900"
="black",="",="",=""
="cannabis Possession Arrest Rate",="644.4",="(369.4)",="900"
="heroin_coke Possession Arrest Rate",="420.5",="(343.6)",="900"
="synth_narc Possession Arrest Rate",="29.8",="(33.7)",="900"
="other_drug Possession Arrest Rate",="188.9",="(222.7)",="900"
="white",="",="",=""
="cannabis Possession Arrest Rate",="182.5",="(154.0)",="900"
="heroin_coke Possession Arrest Rate",="117.5",="(106.8)",="900"
="synth_narc Possession Arrest Rate",="24.9",="(27.9)",="900"
="other_drug Possession Arrest Rate",="132.7",="(181.6)",="900"
="Notes: "

="% 22 Apr 2025 13:27:40"
="Appendix Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="Property Arrest Rate",="525.4",="(244.2)",="900"
="Larceny Arrest Rate",="396.6",="(238.8)",="900"
="Burglary Arrest Rate",="91.0",="(39.0)",="900"
="MVT Arrest Rate",="34.4",="(22.3)",="900"
="Arson Arrest Rate",="3.3",="(2.6)",="900"
="black",="",="",=""
="Property Arrest Rate",="1240.6",="(473.2)",="900"
="Larceny Arrest Rate",="930.9",="(410.8)",="900"
="Burglary Arrest Rate",="217.0",="(112.0)",="900"
="MVT Arrest Rate",="85.9",="(68.2)",="900"
="Arson Arrest Rate",="6.8",="(4.6)",="900"
="white",="",="",=""
="Property Arrest Rate",="454.9",="(182.5)",="900"
="Larceny Arrest Rate",="342.9",="(175.6)",="900"
="Burglary Arrest Rate",="79.5",="(37.4)",="900"
="MVT Arrest Rate",="29.4",="(22.8)",="900"
="Arson Arrest Rate",="3.0",="(2.7)",="900"
="Notes: "

="% 22 Apr 2025 13:27:40"
="Appendix Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="Violent Arrest Rate",="221.2",="(99.1)",="900"
="Assault Arrest Rate",="170.6",="(89.0)",="900"
="Robbery Arrest Rate",="37.2",="(14.7)",="900"
="Murder Arrest Rate",="4.9",="(2.3)",="900"
="Rape Arrest Rate",="8.5",="(3.2)",="900"
="black",="",="",=""
="Violent Arrest Rate",="671.8",="(316.1)",="900"
="Assault Arrest Rate",="466.4",="(247.0)",="900"
="Robbery Arrest Rate",="162.7",="(75.3)",="900"
="Murder Arrest Rate",="20.5",="(11.2)",="900"
="Rape Arrest Rate",="22.2",="(12.7)",="900"
="white",="",="",=""
="Violent Arrest Rate",="171.2",="(105.9)",="900"
="Assault Arrest Rate",="138.8",="(95.5)",="900"
="Robbery Arrest Rate",="22.3",="(11.2)",="900"
="Murder Arrest Rate",="3.0",="(1.6)",="900"
="Rape Arrest Rate",="7.1",="(2.7)",="900"
="Notes: "

="% 22 Apr 2025 13:27:40"
="Appendix Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="Vandalism Arrest Rate",="70.6",="(72.9)",="900"
="Liquor Law Arrest Rate",="150.7",="(309.1)",="900"
="Drunkenness Arrest Rate",="240.9",="(368.4)",="900"
="rate_dui_1899",="525.3",="(246.7)",="900"
="Disorderly Conduct Arrest Rate",="150.3",="(158.8)",="900"
="black",="",="",=""
="Vandalism Arrest Rate",="150.1",="(204.6)",="900"
="Liquor Law Arrest Rate",="167.0",="(520.8)",="900"
="Drunkenness Arrest Rate",="314.9",="(886.5)",="900"
="rate_dui_1899",="491.7",="(230.9)",="900"
="Disorderly Conduct Arrest Rate",="387.2",="(462.8)",="900"
="white",="",="",=""
="Vandalism Arrest Rate",="63.4",="(53.6)",="900"
="Liquor Law Arrest Rate",="152.5",="(248.0)",="900"
="Drunkenness Arrest Rate",="243.0",="(278.9)",="900"
="rate_dui_1899",="557.7",="(267.0)",="900"
="Disorderly Conduct Arrest Rate",="124.6",="(105.9)",="900"
="Notes: "

