="% 22 Apr 2025 13:28:48"
="Appendix Table 8 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Cocaine-Heroin",="Addicting Synthetic Narcotics",="Dangerous Non-Narcotic"
="RML",="-0.0669***",="0.0074",="-0.0028**",="0.0002"
="",="(0.0099)",="(0.0046)",="(0.0012)",="(0.0036)"
="Pre-treat DV mean",="0.0505",="0.0733",="0.0018",="0.0401"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:28:49"
="Appendix Table 8 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Cocaine-Heroin",="Addicting Synthetic Narcotics",="Dangerous Non-Narcotic"
="RML",="-0.0429***",="-0.0011",="-0.0075***",="-0.0047"
="",="(0.0070)",="(0.0023)",="(0.0026)",="(0.0033)"
="Pre-treat DV mean",="0.0382",="0.0474",="0.0037",="0.0603"
="N",="900",="900",="900",="900"

