="% 22 Apr 2025 13:28:51"
="Appendix Table 9 - Panel 1 "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Marijuana",="",="Non-Marijuana",="",="Property",="",="Violent",=""
="RML",="-144.68***",="-561.23***",="-46.61**",="170.83",="-16.20",="-16.43",="1.72",="36.58"
="",="(24.18)",="(87.99)",="(20.45)",="(130.08)",="(20.43)",="(80.28)",="(7.39)",="(46.02)"
="Pre-treat DV mean",="164.45",="538.74",="506.31",="1258.36",="441.06",="1190.40",="272.80",="981.99"
="N",="900",="900",="900",="900",="900",="900",="900",="900"

="% 22 Apr 2025 13:28:52"
="Appendix Table 9 - Panel 2 "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Marijuana",="",="Non-Marijuana",="",="Property",="",="Violent",=""
="RML",="-143.98***",="-563.84***",="-44.19**",="160.39",="-16.11",="-25.03",="1.01",="28.74"
="",="(23.73)",="(89.12)",="(20.59)",="(126.35)",="(20.37)",="(87.01)",="(7.48)",="(50.84)"
="Border State RML",="-8.68",="27.43",="-29.62**",="109.80",="-1.21",="90.39",="8.69",="82.43*"
="",="(19.23)",="(104.13)",="(13.69)",="(95.30)",="(17.44)",="(71.54)",="(6.16)",="(46.08)"
="Pre-treat DV mean",="164.45",="538.74",="506.31",="1258.36",="441.06",="1190.40",="272.80",="981.99"
="N",="900",="900",="900",="900",="900",="900",="900",="900"

="% 22 Apr 2025 13:28:52"
="Appendix Table 9 - Panel 3 "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Marijuana",="",="Non-Marijuana",="",="Property",="",="Violent",=""
="RML",="-142.08***",="-593.28***",="-51.48**",="-8.89",="-28.90",="-67.06",="0.98",="56.96"
="",="(22.54)",="(100.35)",="(24.64)",="(79.40)",="(22.91)",="(80.86)",="(7.24)",="(46.61)"
="Pre-treat DV mean",="164.45",="538.74",="506.31",="1258.36",="441.06",="1190.40",="272.80",="981.99"
="N",="600",="600",="600",="600",="600",="600",="600",="600"

