="%  7 Apr 2025 08:21:39"
="Table 1 - all "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-146.07***",="-158.94***",="-162.07***",="-172.96***"
="",="(27.99)",="(28.07)",="(24.82)",="(25.30)"
="Pre-treat DV mean",="177.38",="177.38",="177.38",="177.38"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 08:21:39"
="Table 1 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-498.22***",="-511.52***",="-522.70***",="-561.23***"
="",="(71.65)",="(80.98)",="(80.51)",="(87.99)"
="Pre-treat DV mean",="538.74",="538.74",="538.74",="538.74"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 08:21:39"
="Table 1 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-128.01***",="-140.42***",="-142.02***",="-144.68***"
="",="(25.63)",="(25.79)",="(23.78)",="(24.18)"
="Pre-treat DV mean",="164.45",="164.45",="164.45",="164.45"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 08:21:40"
="Table 1 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="Diff. in Coeff. (Black-White)",="-370.22***",="-371.10***",="-380.69***",="-416.54***"
="",="(57.24)",="(66.44)",="(67.28)",="(78.17)"

="% 22 Apr 2025 13:07:32"
="Table 1 - all "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-146.07***",="-158.94***",="-162.07***",="-172.96***"
="",="(27.99)",="(28.07)",="(24.82)",="(25.30)"
="Pre-treat DV mean",="177.38",="177.38",="177.38",="177.38"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:07:32"
="Table 1 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-498.22***",="-511.52***",="-522.70***",="-561.23***"
="",="(71.65)",="(80.98)",="(80.51)",="(87.99)"
="Pre-treat DV mean",="538.74",="538.74",="538.74",="538.74"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:07:32"
="Table 1 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-128.01***",="-140.42***",="-142.02***",="-144.68***"
="",="(25.63)",="(25.79)",="(23.78)",="(24.18)"
="Pre-treat DV mean",="164.45",="164.45",="164.45",="164.45"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:07:33"
="Table 1 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="Diff. in Coeff. (Black-White)",="-370.22***",="-371.10***",="-380.69***",="-416.54***"
="",="(57.24)",="(66.44)",="(67.28)",="(78.17)"

