="%  7 Apr 2025 09:23:59"
="Table 2 - black "
="",="(1)",="(2)"
="",="MJ-Poss",="MJ-Sale"
="RML",="-493.74***",="-67.48***"
="",="(86.60)",="(15.55)"
="Pre-treat DV mean",="396.14",="142.60"
="N",="900",="900"

="%  7 Apr 2025 09:24:00"
="Table 2 - white "
="",="(1)",="(2)"
="",="MJ-Poss",="MJ-Sale"
="RML",="-132.68***",="-12.01***"
="",="(23.38)",="(3.97)"
="Pre-treat DV mean",="136.17",="28.28"
="N",="900",="900"

="%  7 Apr 2025 09:24:00"
="Table 2 - diff in RML coeff. "
="",="(1)",="(2)"
="",="rate_poss_cannabis_1899",="rate_sale_cannabis_1899"
="Diff. in Coeff. (Black-White)",="-361.07***",="-55.48***"
="",="(76.15)",="(12.42)"

="% 22 Apr 2025 13:07:33"
="Table 2 - black "
="",="(1)",="(2)"
="",="MJ-Poss",="MJ-Sale"
="RML",="-493.74***",="-67.48***"
="",="(86.60)",="(15.55)"
="Pre-treat DV mean",="396.14",="142.60"
="N",="900",="900"

="% 22 Apr 2025 13:07:33"
="Table 2 - white "
="",="(1)",="(2)"
="",="MJ-Poss",="MJ-Sale"
="RML",="-132.68***",="-12.01***"
="",="(23.38)",="(3.97)"
="Pre-treat DV mean",="136.17",="28.28"
="N",="900",="900"

="% 22 Apr 2025 13:07:33"
="Table 2 - diff in RML coeff. "
="",="(1)",="(2)"
="",="rate_poss_cannabis_1899",="rate_sale_cannabis_1899"
="Diff. in Coeff. (Black-White)",="-361.07***",="-55.48***"
="",="(76.15)",="(12.42)"

