="%  7 Apr 2025 09:26:18"
="Table 4 - black "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Prop",="Larc",="Burgl",="MVT",="Viol",="Asslt",="Robb",="Hmcde",="Rpe"
="RML",="-16.43",="-35.92",="12.80",="4.21",="36.58",="28.77",="9.15",="1.10",="-2.44"
="",="(80.28)",="(66.09)",="(11.43)",="(13.69)",="(46.02)",="(37.98)",="(16.64)",="(2.17)",="(2.72)"
="Pre-treat DV mean",="1190.40",="721.48",="325.49",="136.47",="981.99",="723.89",="210.94",="22.17",="24.98"
="N",="900",="900",="900",="900",="900",="900",="900",="900",="900"

="%  7 Apr 2025 09:26:19"
="Table 4 - white "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Prop",="Larc",="Burgl",="MVT",="Viol",="Asslt",="Robb",="Hmcde",="Rpe"
="RML",="-16.20",="-16.91",="0.60",="-0.61",="1.72",="2.35",="0.94",="0.09",="-1.66*"
="",="(20.43)",="(18.94)",="(3.51)",="(3.91)",="(7.39)",="(6.82)",="(1.36)",="(0.16)",="(0.96)"
="Pre-treat DV mean",="441.06",="282.04",="109.90",="46.35",="272.80",="230.29",="30.75",="3.96",="7.80"
="N",="900",="900",="900",="900",="900",="900",="900",="900",="900"

="%  7 Apr 2025 09:26:20"
="Table 4 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Prop",="Larc",="Burgl",="MVT",="Viol",="Asslt",="Robb",="Hmcde",="Rpe"
="Diff. in Coeff. (Black-White)",="-0.23",="-19.00",="12.21",="4.83",="34.87",="26.42",="8.21",="1.01",="-0.78"
="",="(71.34)",="(57.07)",="(10.21)",="(12.66)",="(40.62)",="(32.89)",="(15.47)",="(2.13)",="(1.93)"

="% 22 Apr 2025 13:07:37"
="Table 4 - black "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Prop",="Larc",="Burgl",="MVT",="Viol",="Asslt",="Robb",="Hmcde",="Rpe"
="RML",="-16.43",="-35.92",="12.80",="4.21",="36.58",="28.77",="9.15",="1.10",="-2.44"
="",="(80.28)",="(66.09)",="(11.43)",="(13.69)",="(46.02)",="(37.98)",="(16.64)",="(2.17)",="(2.72)"
="Pre-treat DV mean",="1190.40",="721.48",="325.49",="136.47",="981.99",="723.89",="210.94",="22.17",="24.98"
="N",="900",="900",="900",="900",="900",="900",="900",="900",="900"

="% 22 Apr 2025 13:07:38"
="Table 4 - white "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Prop",="Larc",="Burgl",="MVT",="Viol",="Asslt",="Robb",="Hmcde",="Rpe"
="RML",="-16.20",="-16.91",="0.60",="-0.61",="1.72",="2.35",="0.94",="0.09",="-1.66*"
="",="(20.43)",="(18.94)",="(3.51)",="(3.91)",="(7.39)",="(6.82)",="(1.36)",="(0.16)",="(0.96)"
="Pre-treat DV mean",="441.06",="282.04",="109.90",="46.35",="272.80",="230.29",="30.75",="3.96",="7.80"
="N",="900",="900",="900",="900",="900",="900",="900",="900",="900"

="% 22 Apr 2025 13:07:40"
="Table 4 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="Prop",="Larc",="Burgl",="MVT",="Viol",="Asslt",="Robb",="Hmcde",="Rpe"
="Diff. in Coeff. (Black-White)",="-0.23",="-19.00",="12.21",="4.83",="34.87",="26.42",="8.21",="1.01",="-0.78"
="",="(71.34)",="(57.07)",="(10.21)",="(12.66)",="(40.62)",="(32.89)",="(15.47)",="(2.13)",="(1.93)"

