="%  4 May 2023 11:14:57"
="Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="230.7",="(137.3)",="998"
="black",="623.1",="(336.9)",="998"
="white",="182.1",="(111.0)",="998"
="Notes: "

="%  4 May 2023 11:14:57"
="Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="cannabis Sales Arrest Rate",="26.4",="(19.3)",="998"
="heroin_coke Sales Arrest Rate",="39.2",="(37.5)",="998"
="synth_narc Sales Arrest Rate",="9.1",="(12.7)",="998"
="other_drug Sales Arrest Rate",="20.9",="(20.1)",="998"
="black",="",="",=""
="cannabis Sales Arrest Rate",="82.0",="(66.2)",="998"
="heroin_coke Sales Arrest Rate",="179.6",="(189.2)",="998"
="synth_narc Sales Arrest Rate",="12.7",="(18.5)",="998"
="other_drug Sales Arrest Rate",="31.0",="(56.6)",="998"
="white",="",="",=""
="cannabis Sales Arrest Rate",="19.1",="(16.1)",="998"
="heroin_coke Sales Arrest Rate",="20.1",="(16.7)",="998"
="synth_narc Sales Arrest Rate",="9.1",="(13.0)",="998"
="other_drug Sales Arrest Rate",="20.2",="(19.5)",="998"
="Notes: "

="%  4 May 2023 11:14:57"
="Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="cannabis Possession Arrest Rate",="204.3",="(129.1)",="998"
="heroin_coke Possession Arrest Rate",="112.9",="(93.7)",="998"
="synth_narc Possession Arrest Rate",="21.9",="(23.8)",="998"
="other_drug Possession Arrest Rate",="102.9",="(117.1)",="998"
="black",="",="",=""
="cannabis Possession Arrest Rate",="541.0",="(302.2)",="998"
="heroin_coke Possession Arrest Rate",="315.3",="(268.8)",="998"
="synth_narc Possession Arrest Rate",="25.2",="(28.5)",="998"
="other_drug Possession Arrest Rate",="133.6",="(178.6)",="998"
="white",="",="",=""
="cannabis Possession Arrest Rate",="163.0",="(105.0)",="998"
="heroin_coke Possession Arrest Rate",="89.0",="(90.5)",="998"
