="%  4 May 2023 11:14:59"
="Appendix Table 3"
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana Arrests",="",="Non-Marijuana Drug Arrests",=""
="RML",="-101.16***",="-92.84***",="-36.77*",="-46.29***"
="",="(23.65)",="(20.07)",="(18.50)",="(16.67)"
="RML*Black",="-278.70**",="-301.21***",="-95.49",="-141.72**"
="",="(113.50)",="(95.64)",="(57.41)",="(53.16)"
="Pre-treat DV mean (White)",="158.32",="158.32",="448.88",="448.88"
="Pre-treat DV mean (Black)",="492.25",="492.25",="1135.90",="1135.90"
="N",="1996",="1996",="1996",="1996"
="State-specific linear time trends",="Yes",="Yes",="Yes",="Yes"
="Census region-year FE",="No",="Yes",="No",="Yes"

