="%  4 May 2023 11:14:46"
="Table 3 - heroin_coke "
="",="(1)",="(2)",="(3)"
="",="All",="White",="Black"
="RML",="32.40*",="2.20",="114.98"
="",="(18.38)",="(8.23)",="(88.19)"
="Pre-treat DV mean",="211.76",="187.59",="729.01"
="N",="998",="998",="998"

="%  4 May 2023 11:14:46"
="Table 3 - synth_narc "
="",="(1)",="(2)",="(3)"
="",="All",="White",="Black"
="RML",="-23.30***",="-24.29***",="-20.11**"
="",="(8.39)",="(8.74)",="(9.80)"
="Pre-treat DV mean",="16.71",="18.07",="19.99"
="N",="998",="998",="998"

="%  4 May 2023 11:14:46"
="Table 3 - other_drug "
="",="(1)",="(2)",="(3)"
="",="All",="White",="Black"
="RML",="-13.64",="-11.72",="-30.22"
="",="(12.48)",="(11.12)",="(43.98)"
="Pre-treat DV mean",="232.35",="243.22",="386.90"
="N",="998",="998",="998"

