="%  4 May 2023 11:14:48"
="Table 5A"
="",="(1)",="(2)",="(3)",="(4)"
="",="Property Crime",="Larceny",="Burglary",="Motor Vehicle Theft"
="RML",="5.87",="1.14",="2.38",="1.73"
="",="(20.97)",="(16.87)",="(3.59)",="(3.53)"
="RML*Black",="24.80",="-5.42",="12.11",="17.27"
="",="(64.41)",="(50.94)",="(7.60)",="(15.47)"
="Pre-treat DV mean (White)",="416.85",="273.45",="98.78",="41.98"
="Pre-treat DV mean (Black)",="1101.27",="686.78",="287.30",="121.02"
="N",="1996",="1996",="1996",="1996"

="%  4 May 2023 11:14:48"
="Table 5B"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Violent Crime",="Assault",="Robbery",="Homicide",="Rape"
="RML",="6.56",="5.80",="2.05",="0.14",="-1.42**"
="",="(6.51)",="(6.09)",="(1.36)",="(0.18)",="(0.60)"
="RML*Black",="31.96",="22.55",="9.54",="0.87",="-0.99"
="",="(45.30)",="(37.22)",="(11.67)",="(1.62)",="(1.68)"
="Pre-treat DV mean (White)",="244.71",="205.93",="27.83",="3.56",="7.39"
="Pre-treat DV mean (Black)",="898.66",="663.28",="192.37",="19.63",="23.38"
="N",="1996",="1996",="1996",="1996",="1996"

