="%  4 May 2023 11:14:50"
="Table 7 - Panel 1 "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Marijuana",="",="Non-Marijuana",="",="Property",="",="Violent",=""
="RML",="-115.23***",="-325.15***",="-33.80***",="64.65",="5.87",="30.67",="6.56",="38.52"
="",="(17.52)",="(103.67)",="(12.16)",="(101.57)",="(20.97)",="(73.26)",="(6.51)",="(50.51)"
="Pre-treat DV mean",="158.32",="492.25",="448.88",="1135.90",="416.85",="1101.27",="244.71",="898.66"
="N",="998",="998",="998",="998",="998",="998",="998",="998"

="%  4 May 2023 11:14:51"
="Table 7 - Panel 2 "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Marijuana",="",="Non-Marijuana",="",="Property",="",="Violent",=""
="RML",="-114.36***",="-325.40***",="-32.16***",="65.00",="6.22",="31.72",="6.10",="39.44"
="",="(16.73)",="(102.51)",="(11.56)",="(102.61)",="(20.69)",="(77.69)",="(6.77)",="(52.74)"
="Border State RML",="-12.98",="-18.21",="-24.63*",="25.64",="-5.32",="77.55",="6.92",="67.88*"
="",="(20.30)",="(103.27)",="(13.05)",="(87.18)",="(16.17)",="(68.22)",="(5.94)",="(40.38)"
="Pre-treat DV mean",="158.32",="492.25",="448.88",="1135.90",="416.85",="1101.27",="244.71",="898.66"
="N",="998",="998",="998",="998",="998",="998",="998",="998"

="%  4 May 2023 11:14:51"
="Table 7 - Panel 3 "
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Marijuana",="",="Non-Marijuana",="",="Property",="",="Violent",=""
="RML",="-116.29***",="-399.46***",="-50.03***",="-82.99",="-5.44",="85.68",="4.89",="55.13"
="",="(18.25)",="(110.61)",="(18.06)",="(86.98)",="(25.05)",="(107.18)",="(6.47)",="(40.59)"
="Pre-treat DV mean",="158.32",="492.25",="448.88",="1135.90",="416.85",="1101.27",="244.71",="898.66"
="N",="659",="659",="659",="659",="659",="659",="659",="659"

