="%  4 May 2023 11:14:52"
="Table 8"
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML-No Sales",="-133.53***",="-52.50***",="-4.67",="-1.99"
="",="(18.96)",="(12.15)",="(14.89)",="(7.39)"
="RML-No Sales*Black",="-278.83***",="54.75",="56.23",="16.02"
="",="(81.74)",="(95.22)",="(57.39)",="(55.43)"
="RML-Sales",="-105.83***",="-23.97*",="11.42",="11.11*"
="",="(18.27)",="(13.53)",="(27.30)",="(5.94)"
="RML-Sales*Black",="-167.78",="126.69",="6.74",="42.22"
="",="(111.32)",="(105.35)",="(71.16)",="(42.40)"
="Pre-treat DV mean (White)",="158.32",="448.88",="416.85",="244.71"
="Pre-treat DV mean (Black)",="492.25",="1135.90",="1101.27",="898.66"
="N",="1996",="1996",="1996",="1996"

